CONTAINER ID   NAME                                                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
2e32461c875e   testground-sidecar                                               11.22%    22.04MiB / 9.717GiB   0.22%     851kB / 41.6kB    11.8MB / 1.09MB   13
e9556fdf3040   testground-influxdb                                              0.28%     78.02MiB / 9.717GiB   0.78%     54.2MB / 2.71MB   16.1MB / 9.88MB   24
a168d8727082   testground-sync-service                                          24.25%    21.22MiB / 9.717GiB   0.21%     2.17MB / 2.84MB   10.7MB / 0B       21
5731d806339e   testground-redis                                                 0.26%     9.121MiB / 9.717GiB   0.09%     822kB / 0B        8.45MB / 0B       5
fb7a883c6248   testground-grafana                                               0.30%     187.1MiB / 9.717GiB   1.88%     835kB / 4.04kB    120MB / 74MB      17
4adce5611f83   testground-goproxy                                               0.00%     39.93MiB / 9.717GiB   0.40%     318kB / 488kB     3.34MB / 0B       15
26a98c348bde   tg-dht-find-providers-cf4nl1vrirfpfu6nv5ng-cypress-provider-15   0.01%     34.36MiB / 9.717GiB   0.35%     3.06kB / 1.8kB    295kB / 0B        10
23030f27ecd2   tg-dht-find-providers-cf4nl1vrirfpfu6nv5ng-cypress-provider-3    23.63%    32.87MiB / 9.717GiB   0.33%     2.83kB / 1.8kB    0B / 0B           9
72988a3d33eb   tg-dht-find-providers-cf4nl1vrirfpfu6nv5ng-cypress-provider-41   34.66%    31.47MiB / 9.717GiB   0.32%     2.72kB / 1.8kB    0B / 0B           10
f5e26ef865fe   tg-dht-find-providers-cf4nl1vrirfpfu6nv5ng-cypress-provider-10   20.96%    34.38MiB / 9.717GiB   0.35%     2.98kB / 1.8kB    0B / 0B           10
9a6748a025ae   tg-dht-find-providers-cf4nl1vrirfpfu6nv5ng-cypress-provider-16   29.26%    27.61MiB / 9.717GiB   0.28%     2.85kB / 1.8kB    0B / 0B           9
b1e7bcea451b   tg-dht-find-providers-cf4nl1vrirfpfu6nv5ng-cypress-provider-13   32.63%    26.45MiB / 9.717GiB   0.27%     2.74kB / 1.8kB    0B / 0B           9
3ba8ac091187   tg-dht-find-providers-cf4nl1vrirfpfu6nv5ng-cypress-provider-5    22.83%    28.46MiB / 9.717GiB   0.29%     2.83kB / 1.8kB    0B / 0B           9
1bcb970e784d   tg-dht-find-providers-cf4nl1vrirfpfu6nv5ng-cypress-provider-40   36.27%    28.12MiB / 9.717GiB   0.28%     2.79kB / 1.8kB    0B / 0B           9
71f47102c626   tg-dht-find-providers-cf4nl1vrirfpfu6nv5ng-cypress-provider-19   30.64%    27.02MiB / 9.717GiB   0.27%     2.74kB / 1.8kB    0B / 0B           9
6385b99f3d56   tg-dht-find-providers-cf4nl1vrirfpfu6nv5ng-cypress-provider-11   31.89%    28.53MiB / 9.717GiB   0.29%     2.75kB / 1.8kB    0B / 0B           10
51af5f2d2f27   tg-dht-find-providers-cf4nl1vrirfpfu6nv5ng-cypress-provider-14   36.88%    28.05MiB / 9.717GiB   0.28%     2.7kB / 1.8kB     0B / 0B           10
7c4dcab3483f   tg-dht-find-providers-cf4nl1vrirfpfu6nv5ng-cypress-provider-12   27.78%    27.43MiB / 9.717GiB   0.28%     2.96kB / 1.8kB    0B / 0B           10
cf19e2df601f   tg-dht-find-providers-cf4nl1vrirfpfu6nv5ng-cypress-provider-7    27.08%    25.76MiB / 9.717GiB   0.26%     3.12kB / 1.8kB    0B / 0B           10
381c8ec08dd1   tg-dht-find-providers-cf4nl1vrirfpfu6nv5ng-cypress-provider-1    25.53%    21.16MiB / 9.717GiB   0.21%     2.91kB / 1.8kB    0B / 0B           9
49c1abcce0c3   tg-dht-find-providers-cf4nl1vrirfpfu6nv5ng-cypress-provider-33   11.24%    25.86MiB / 9.717GiB   0.26%     3.42kB / 1.8kB    0B / 0B           11
61e2f44a20d3   tg-dht-find-providers-cf4nl1vrirfpfu6nv5ng-cypress-provider-18   19.30%    27.62MiB / 9.717GiB   0.28%     3.42kB / 1.8kB    0B / 0B           9
c4d1d5bbc5f0   tg-dht-find-providers-cf4nl1vrirfpfu6nv5ng-cypress-provider-4    15.42%    26.55MiB / 9.717GiB   0.27%     3.5kB / 1.8kB     0B / 0B           9
ca72053a24f1   tg-dht-find-providers-cf4nl1vrirfpfu6nv5ng-cypress-provider-17   15.02%    25.19MiB / 9.717GiB   0.25%     3.42kB / 1.8kB    0B / 0B           9
35458a1a8844   tg-dht-find-providers-cf4nl1vrirfpfu6nv5ng-cypress-provider-6    18.96%    17.18MiB / 9.717GiB   0.17%     3.25kB / 1.8kB    0B / 0B           9
ea769fa1b04c   tg-dht-find-providers-cf4nl1vrirfpfu6nv5ng-cypress-provider-21   11.78%    22.07MiB / 9.717GiB   0.22%     3.33kB / 1.8kB    0B / 0B           9
ebcba5325fbc   tg-dht-find-providers-cf4nl1vrirfpfu6nv5ng-cypress-provider-26   11.48%    26.5MiB / 9.717GiB    0.27%     3.49kB / 1.8kB    4.1kB / 0B        9
1aa00233ec10   tg-dht-find-providers-cf4nl1vrirfpfu6nv5ng-cypress-provider-20   10.19%    23.04MiB / 9.717GiB   0.23%     3.33kB / 1.8kB    0B / 0B           9
cf02342ae502   tg-dht-find-providers-cf4nl1vrirfpfu6nv5ng-cypress-provider-22   18.28%    30.33MiB / 9.717GiB   0.30%     3.25kB / 1.8kB    0B / 0B           9
a2174f170397   tg-dht-find-providers-cf4nl1vrirfpfu6nv5ng-cypress-provider-23   12.57%    19.13MiB / 9.717GiB   0.19%     3kB / 1.8kB       0B / 0B           9
0b345815aa37   tg-dht-find-providers-cf4nl1vrirfpfu6nv5ng-cypress-provider-24   13.83%    24.19MiB / 9.717GiB   0.24%     2.87kB / 1.8kB    0B / 0B           9
25d046a7658b   tg-dht-find-providers-cf4nl1vrirfpfu6nv5ng-cypress-provider-25   10.44%    16.67MiB / 9.717GiB   0.17%     2.62kB / 1.8kB    0B / 0B           9
4ab3fb87afb1   tg-dht-find-providers-cf4nl1vrirfpfu6nv5ng-cypress-provider-8    24.53%    25.44MiB / 9.717GiB   0.26%     2.83kB / 1.8kB    0B / 0B           9
548cdc95c28a   tg-dht-find-providers-cf4nl1vrirfpfu6nv5ng-cypress-provider-34   24.52%    20.18MiB / 9.717GiB   0.20%     2.7kB / 1.8kB     0B / 0B           10
4b8dae59266f   tg-dht-find-providers-cf4nl1vrirfpfu6nv5ng-cypress-provider-2    16.34%    16.32MiB / 9.717GiB   0.16%     2.79kB / 1.8kB    0B / 0B           9
e2cc8bbc3b91   tg-dht-find-providers-cf4nl1vrirfpfu6nv5ng-cypress-provider-38   24.92%    26.54MiB / 9.717GiB   0.27%     3.04kB / 1.8kB    0B / 0B           10
593d263e1a9d   tg-dht-find-providers-cf4nl1vrirfpfu6nv5ng-cypress-provider-35   12.61%    18.3MiB / 9.717GiB    0.18%     3kB / 1.8kB       0B / 0B           11
19e3aee4fd52   tg-dht-find-providers-cf4nl1vrirfpfu6nv5ng-cypress-provider-39   11.48%    20.72MiB / 9.717GiB   0.21%     3.38kB / 1.8kB    0B / 0B           10
4db8b7e265cf   tg-dht-find-providers-cf4nl1vrirfpfu6nv5ng-cypress-provider-37   13.19%    26.19MiB / 9.717GiB   0.26%     3.25kB / 1.8kB    0B / 0B           9
b02f88a30fcb   tg-dht-find-providers-cf4nl1vrirfpfu6nv5ng-cypress-provider-29   9.33%     23.86MiB / 9.717GiB   0.24%     3.21kB / 1.8kB    0B / 0B           9
9acd7c8bd586   tg-dht-find-providers-cf4nl1vrirfpfu6nv5ng-cypress-provider-36   9.58%     17.55MiB / 9.717GiB   0.18%     3.42kB / 1.8kB    0B / 0B           9
97c399586716   tg-dht-find-providers-cf4nl1vrirfpfu6nv5ng-cypress-provider-0    10.77%    14.88MiB / 9.717GiB   0.15%     3.17kB / 1.8kB    0B / 0B           9
