CONTAINER ID   NAME                                                            CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
2e32461c875e   testground-sidecar                                              7.33%     23.82MiB / 9.717GiB   0.24%     1.4MB / 79.3kB    12.4MB / 2MB      14
e9556fdf3040   testground-influxdb                                             17.15%    99.85MiB / 9.717GiB   1.00%     137MB / 5.11MB    16.3MB / 43.5MB   24
a168d8727082   testground-sync-service                                         38.08%    22.34MiB / 9.717GiB   0.22%     3.86MB / 5.45MB   10.8MB / 0B       21
5731d806339e   testground-redis                                                0.18%     9.176MiB / 9.717GiB   0.09%     1.35MB / 0B       8.45MB / 0B       5
fb7a883c6248   testground-grafana                                              0.12%     187.8MiB / 9.717GiB   1.89%     1.37MB / 8.14kB   120MB / 74.1MB    17
4adce5611f83   testground-goproxy                                              0.00%     39.85MiB / 9.717GiB   0.40%     392kB / 609kB     3.38MB / 0B       15
a2f958ecd521   tg-dht-find-providers-cf4nqavrirfpfu6nv5o0-cypress-provider-0   0.45%     34.1MiB / 9.717GiB    0.34%     2.75kB / 1.8kB    483kB / 0B        9
               --                                                              0.00%     0B / 0B               0.00%     0B / 0B           0B / 0B           0
               --                                                              0.00%     0B / 0B               0.00%     0B / 0B           0B / 0B           0
CONTAINER ID   NAME                                                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
5909d65719be   tg-dht-find-providers-cf4nqavrirfpfu6nv5o0-cypress-provider-4    17.17%    33.23MiB / 9.717GiB   0.33%     2.7kB / 1.8kB     0B / 0B           10
4fb0152ac80a   tg-dht-find-providers-cf4nqavrirfpfu6nv5o0-cypress-provider-2    23.30%    32.81MiB / 9.717GiB   0.33%     2.87kB / 1.8kB    0B / 0B           9
a2f958ecd521   tg-dht-find-providers-cf4nqavrirfpfu6nv5o0-cypress-provider-0    0.59%     34.16MiB / 9.717GiB   0.34%     3.59kB / 1.8kB    483kB / 0B        9
2e32461c875e   testground-sidecar                                               8.54%     24.57MiB / 9.717GiB   0.25%     1.4MB / 82kB      12.4MB / 2MB      14
e9556fdf3040   testground-influxdb                                              3.89%     93.45MiB / 9.717GiB   0.94%     137MB / 5.11MB    16.3MB / 43.5MB   24
a168d8727082   testground-sync-service                                          28.70%    22.58MiB / 9.717GiB   0.23%     3.87MB / 5.45MB   10.8MB / 0B       21
5731d806339e   testground-redis                                                 0.15%     9.176MiB / 9.717GiB   0.09%     1.35MB / 0B       8.45MB / 0B       5
fb7a883c6248   testground-grafana                                               0.39%     187.8MiB / 9.717GiB   1.89%     1.37MB / 8.14kB   120MB / 74.1MB    17
4adce5611f83   testground-goproxy                                               0.01%     39.85MiB / 9.717GiB   0.40%     392kB / 609kB     3.38MB / 0B       15
286cb7a3c24f   tg-dht-find-providers-cf4nqavrirfpfu6nv5o0-cypress-provider-12   11.04%    34.11MiB / 9.717GiB   0.34%     3.04kB / 1.8kB    0B / 0B           9
1c20a4a181f0   tg-dht-find-providers-cf4nqavrirfpfu6nv5o0-cypress-provider-3    27.20%    33.12MiB / 9.717GiB   0.33%     3.08kB / 1.8kB    0B / 0B           9
97501f1c1789   tg-dht-find-providers-cf4nqavrirfpfu6nv5o0-cypress-provider-1    22.82%    27.09MiB / 9.717GiB   0.27%     2.95kB / 1.8kB    0B / 0B           10
c06a4ec9b3df   tg-dht-find-providers-cf4nqavrirfpfu6nv5o0-cypress-provider-10   25.24%    28.57MiB / 9.717GiB   0.29%     3kB / 1.8kB       0B / 0B           9
b4a3a21090b0   tg-dht-find-providers-cf4nqavrirfpfu6nv5o0-cypress-provider-9    17.30%    34.69MiB / 9.717GiB   0.35%     3.16kB / 1.8kB    0B / 0B           10
9513a6117152   tg-dht-find-providers-cf4nqavrirfpfu6nv5o0-cypress-provider-7    15.18%    24.12MiB / 9.717GiB   0.24%     3.25kB / 1.8kB    0B / 0B           9
e4fb5074e965   tg-dht-find-providers-cf4nqavrirfpfu6nv5o0-cypress-provider-8    14.10%    20.25MiB / 9.717GiB   0.20%     2.7kB / 1.8kB     0B / 0B           9
ec792cab93e5   tg-dht-find-providers-cf4nqavrirfpfu6nv5o0-cypress-provider-14   16.09%    20.71MiB / 9.717GiB   0.21%     2.79kB / 1.8kB    0B / 0B           9
5b08b3a0e4c6   tg-dht-find-providers-cf4nqavrirfpfu6nv5o0-cypress-provider-5    18.93%    26.02MiB / 9.717GiB   0.26%     3.21kB / 1.8kB    0B / 0B           9
2a4a6132d54f   tg-dht-find-providers-cf4nqavrirfpfu6nv5o0-cypress-provider-11   23.62%    26.06MiB / 9.717GiB   0.26%     3.17kB / 1.8kB    0B / 0B           9
328c5de2c8ed   tg-dht-find-providers-cf4nqavrirfpfu6nv5o0-cypress-provider-13   16.14%    18.68MiB / 9.717GiB   0.19%     2.96kB / 1.8kB    0B / 0B           10
8baafdda7d9e   tg-dht-find-providers-cf4nqavrirfpfu6nv5o0-cypress-provider-15   17.83%    21.04MiB / 9.717GiB   0.21%     2.91kB / 1.8kB    0B / 0B           9
3fa5ae7f9512   tg-dht-find-providers-cf4nqavrirfpfu6nv5o0-cypress-provider-6    22.03%    24.09MiB / 9.717GiB   0.24%     3.08kB / 1.8kB    0B / 0B           9
