CONTAINER ID   NAME                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f2621123b8c3   testground-sidecar        6.36%     16.51MiB / 7.764GiB   0.21%     92.8kB / 115kB    3.04MB / 1.94MB   12
08c06c1ab7a4   testground-influxdb       1.87%     97.75MiB / 7.764GiB   1.23%     47.3MB / 2.6MB    82.7MB / 28.7MB   21
91e3aed4e4bd   testground-sync-service   24.94%    33.68MiB / 7.764GiB   0.42%     2.69MB / 7.13MB   41.4MB / 0B       22
85ba6ad14e24   testground-redis          0.14%     8.754MiB / 7.764GiB   0.11%     14.5kB / 0B       11.6MB / 0B       5
81fa98668db3   testground-grafana        0.94%     175.1MiB / 7.764GiB   2.20%     51.8kB / 12.6kB   138MB / 111kB     16
5b04da926e05   testground-goproxy        0.01%     222.7MiB / 7.764GiB   2.80%     1.29MB / 129MB    191MB / 16.4kB    19
CONTAINER ID   NAME                                                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f2621123b8c3   testground-sidecar                                               8.34%     16.59MiB / 7.764GiB   0.21%     93.5kB / 116kB    3.04MB / 1.94MB   12
08c06c1ab7a4   testground-influxdb                                              1.07%     97.76MiB / 7.764GiB   1.23%     47.3MB / 2.6MB    82.7MB / 28.7MB   21
91e3aed4e4bd   testground-sync-service                                          40.37%    33.76MiB / 7.764GiB   0.42%     2.69MB / 7.13MB   41.4MB / 0B       22
85ba6ad14e24   testground-redis                                                 0.15%     8.75MiB / 7.764GiB    0.11%     14.6kB / 0B       11.6MB / 0B       5
81fa98668db3   testground-grafana                                               0.73%     175.1MiB / 7.764GiB   2.20%     51.9kB / 12.6kB   138MB / 111kB     16
5b04da926e05   testground-goproxy                                               0.01%     222.7MiB / 7.764GiB   2.80%     1.29MB / 129MB    191MB / 16.4kB    19
5ae9c537f6b1   tg-dht-find-providers-cf2u827rirflktvahn30-cypress-provider-3    40.21%    33.91MiB / 7.764GiB   0.43%     2.26kB / 1.8kB    0B / 0B           9
083c4c920928   tg-dht-find-providers-cf2u827rirflktvahn30-cypress-provider-9    23.55%    32.89MiB / 7.764GiB   0.41%     2.41kB / 1.8kB    0B / 0B           9
a0e8eefe3607   tg-dht-find-providers-cf2u827rirflktvahn30-cypress-provider-30   13.00%    33.79MiB / 7.764GiB   0.43%     2.75kB / 1.8kB    0B / 0B           9
ab3f0dc1d24c   tg-dht-find-providers-cf2u827rirflktvahn30-cypress-provider-7    28.16%    32.53MiB / 7.764GiB   0.41%     2.66kB / 1.8kB    0B / 0B           9
333e56c19198   tg-dht-find-providers-cf2u827rirflktvahn30-cypress-provider-4    12.91%    34.04MiB / 7.764GiB   0.43%     2.68kB / 1.8kB    0B / 0B           8
95d05fc5c1fc   tg-dht-find-providers-cf2u827rirflktvahn30-cypress-provider-0    30.67%    33.34MiB / 7.764GiB   0.42%     2.55kB / 1.8kB    0B / 0B           8
