CONTAINER ID   NAME                                                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
f1167b9c7c43   testground-sidecar                                               4.40%     16.77MiB / 9.717GiB   0.17%     32.5kB / 39.9kB   561kB / 541kB    12
cea52fb62cf0   testground-influxdb                                              1.63%     34.8MiB / 9.717GiB    0.35%     10.7MB / 526kB    520kB / 18.9MB   25
0eba4810562a   testground-sync-service                                          27.30%    15.6MiB / 9.717GiB    0.16%     866kB / 2.32MB    365kB / 0B       21
0e8f72f6ad2d   testground-redis                                                 0.21%     5.965MiB / 9.717GiB   0.06%     5.39kB / 0B       0B / 0B          5
068395f890ea   testground-grafana                                               0.19%     173.9MiB / 9.717GiB   1.75%     18.3kB / 4.24kB   180kB / 74MB     17
ea413a91af20   testground-goproxy                                               0.01%     38.86MiB / 9.717GiB   0.39%     709kB / 64.7MB    332kB / 8.19kB   19
3f0efb501e55   tg-dht-find-providers-cf5cjcvrirfv54rn04hg-cypress-provider-2    0.30%     34.74MiB / 9.717GiB   0.35%     3.02kB / 1.8kB    0B / 0B          10
870a58720f85   tg-dht-find-providers-cf5cjcvrirfv54rn04hg-cypress-provider-3    31.72%    33.47MiB / 9.717GiB   0.34%     2.51kB / 1.8kB    0B / 0B          10
8b99767e7f53   tg-dht-find-providers-cf5cjcvrirfv54rn04hg-cypress-provider-20   6.96%     33.93MiB / 9.717GiB   0.34%     2.83kB / 1.8kB    0B / 0B          10
0cebaeb7b90f   tg-dht-find-providers-cf5cjcvrirfv54rn04hg-cypress-provider-21   34.01%    33.4MiB / 9.717GiB    0.34%     2.61kB / 1.8kB    0B / 0B          9
faa6b9075f23   tg-dht-find-providers-cf5cjcvrirfv54rn04hg-cypress-provider-8    37.57%    28.11MiB / 9.717GiB   0.28%     2.32kB / 1.8kB    0B / 0B          9
287a0c151f13   tg-dht-find-providers-cf5cjcvrirfv54rn04hg-cypress-provider-9    33.17%    32.32MiB / 9.717GiB   0.32%     2.87kB / 1.8kB    0B / 0B          10
7d1f28a4f5ec   tg-dht-find-providers-cf5cjcvrirfv54rn04hg-cypress-provider-5    31.29%    34.46MiB / 9.717GiB   0.35%     2.83kB / 1.8kB    0B / 0B          9
905c2a22f160   tg-dht-find-providers-cf5cjcvrirfv54rn04hg-cypress-provider-1    35.56%    32.22MiB / 9.717GiB   0.32%     2.74kB / 1.8kB    0B / 0B          10
b520cff1f724   tg-dht-find-providers-cf5cjcvrirfv54rn04hg-cypress-provider-22   19.70%    28.22MiB / 9.717GiB   0.28%     3.04kB / 1.8kB    0B / 0B          9
ede9634d7f17   tg-dht-find-providers-cf5cjcvrirfv54rn04hg-cypress-provider-24   14.24%    26.34MiB / 9.717GiB   0.26%     3.17kB / 1.8kB    0B / 0B          10
4cb38ca3da6b   tg-dht-find-providers-cf5cjcvrirfv54rn04hg-cypress-provider-4    16.65%    27.03MiB / 9.717GiB   0.27%     3.21kB / 1.8kB    0B / 0B          9
175de94fc946   tg-dht-find-providers-cf5cjcvrirfv54rn04hg-cypress-provider-12   8.88%     32.51MiB / 9.717GiB   0.33%     3.46kB / 1.8kB    0B / 0B          9
ea5b599214b9   tg-dht-find-providers-cf5cjcvrirfv54rn04hg-cypress-provider-6    23.52%    32.43MiB / 9.717GiB   0.33%     3.42kB / 1.8kB    0B / 0B          10
0aacd8c4c0e7   tg-dht-find-providers-cf5cjcvrirfv54rn04hg-cypress-provider-0    17.96%    26.98MiB / 9.717GiB   0.27%     3.42kB / 1.8kB    0B / 0B          9
977362257aaf   tg-dht-find-providers-cf5cjcvrirfv54rn04hg-cypress-provider-23   24.49%    33.46MiB / 9.717GiB   0.34%     3.42kB / 1.8kB    0B / 0B          9
68d0522edbb0   tg-dht-find-providers-cf5cjcvrirfv54rn04hg-cypress-provider-7    19.52%    20.13MiB / 9.717GiB   0.20%     3.33kB / 1.8kB    0B / 0B          9
e163a8cbacba   tg-dht-find-providers-cf5cjcvrirfv54rn04hg-cypress-provider-10   17.23%    25.42MiB / 9.717GiB   0.26%     3.25kB / 1.8kB    0B / 0B          10
e6550be41d7a   tg-dht-find-providers-cf5cjcvrirfv54rn04hg-cypress-provider-11   23.25%    24.47MiB / 9.717GiB   0.25%     2.98kB / 1.8kB    0B / 0B          9
042c4503a4c0   tg-dht-find-providers-cf5cjcvrirfv54rn04hg-cypress-provider-25   16.33%    25.76MiB / 9.717GiB   0.26%     3.38kB / 1.8kB    0B / 0B          10
9a5876af0109   tg-dht-find-providers-cf5cjcvrirfv54rn04hg-cypress-provider-26   22.03%    29.12MiB / 9.717GiB   0.29%     3.08kB / 1.8kB    0B / 0B          9
fa2c7a0eb1ae   tg-dht-find-providers-cf5cjcvrirfv54rn04hg-cypress-provider-28   22.12%    26.36MiB / 9.717GiB   0.26%     3kB / 1.8kB       0B / 0B          10
0962b2b0840f   tg-dht-find-providers-cf5cjcvrirfv54rn04hg-cypress-provider-27   17.86%    18.13MiB / 9.717GiB   0.18%     2.87kB / 1.8kB    0B / 0B          9
f5ba5f6281be   tg-dht-find-providers-cf5cjcvrirfv54rn04hg-cypress-provider-40   21.46%    20.41MiB / 9.717GiB   0.21%     2.4kB / 1.8kB     0B / 0B          9
0a5422b9966d   tg-dht-find-providers-cf5cjcvrirfv54rn04hg-cypress-provider-41   28.59%    26.13MiB / 9.717GiB   0.26%     2.62kB / 1.8kB    0B / 0B          9
347dce852e8d   tg-dht-find-providers-cf5cjcvrirfv54rn04hg-cypress-provider-42   29.49%    27.21MiB / 9.717GiB   0.27%     2.83kB / 1.8kB    0B / 0B          9
ae22d76f813e   tg-dht-find-providers-cf5cjcvrirfv54rn04hg-cypress-provider-14   34.35%    26.12MiB / 9.717GiB   0.26%     2.76kB / 1.87kB   0B / 0B          9
7764c337035b   tg-dht-find-providers-cf5cjcvrirfv54rn04hg-cypress-provider-43   40.03%    27.08MiB / 9.717GiB   0.27%     2.79kB / 1.8kB    0B / 0B          9
cc63ce2724b1   tg-dht-find-providers-cf5cjcvrirfv54rn04hg-cypress-provider-18   19.78%    26.67MiB / 9.717GiB   0.27%     3.29kB / 1.8kB    0B / 0B          9
8c8b490cc578   tg-dht-find-providers-cf5cjcvrirfv54rn04hg-cypress-provider-13   38.39%    24.89MiB / 9.717GiB   0.25%     3kB / 1.8kB       0B / 0B          9
9539f5ca7c9d   tg-dht-find-providers-cf5cjcvrirfv54rn04hg-cypress-provider-19   24.26%    24.57MiB / 9.717GiB   0.25%     2.95kB / 1.8kB    0B / 0B          9
