CONTAINER ID   NAME                                                            CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
8947f720e3df   testground-sidecar                                              0.04%     11.27MiB / 9.717GiB   0.11%     1.59kB / 1.19kB   1.71MB / 0B       9
e40797be9cec   testground-influxdb                                             60.71%    11.09MiB / 9.717GiB   0.11%     902B / 150B       4.03MB / 4.1kB    15
88fea05d75a7   testground-sync-service                                         0.22%     14.1MiB / 9.717GiB    0.14%     3.96kB / 2.49kB   6.64MB / 0B       9
be0a65149435   testground-redis                                                0.15%     6.84MiB / 9.717GiB    0.07%     754B / 0B         1.69MB / 0B       5
684e571820dc   testground-grafana                                              49.60%    123.2MiB / 9.717GiB   1.24%     1.04kB / 0B       12.2MB / 67.7MB   11
d9dc9ccabf71   testground-goproxy                                              0.00%     40.75MiB / 9.717GiB   0.41%     636kB / 64.5MB    3.84MB / 8.19kB   19
91ba6da64983   tg-dht-find-providers-cf4r16frirfh0varkg7g-cypress-provider-0   41.64%    33.11MiB / 9.717GiB   0.33%     2.33kB / 1.33kB   0B / 0B           9
               --                                                              0.00%     0B / 0B               0.00%     0B / 0B           0B / 0B           0
CONTAINER ID   NAME                                                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
e21b52f7af8a   tg-dht-find-providers-cf4r16frirfh0varkg7g-cypress-provider-34   0.23%     32.86MiB / 9.717GiB   0.33%     2.9kB / 1.48kB    0B / 0B           9
f89564292432   tg-dht-find-providers-cf4r16frirfh0varkg7g-cypress-provider-33   1.80%     34.43MiB / 9.717GiB   0.35%     2.94kB / 1.48kB   0B / 0B           9
91ba6da64983   tg-dht-find-providers-cf4r16frirfh0varkg7g-cypress-provider-0    2.41%     33.43MiB / 9.717GiB   0.34%     3.68kB / 1.59kB   0B / 0B           9
8947f720e3df   testground-sidecar                                               9.47%     14.22MiB / 9.717GiB   0.14%     6.79kB / 8.02kB   1.71MB / 0B       9
e40797be9cec   testground-influxdb                                              27.76%    12.33MiB / 9.717GiB   0.12%     3.32kB / 1.66kB   4.11MB / 4.1kB    19
88fea05d75a7   testground-sync-service                                          2.57%     14.67MiB / 9.717GiB   0.15%     25.8kB / 18.5kB   6.64MB / 0B       9
be0a65149435   testground-redis                                                 0.33%     6.84MiB / 9.717GiB    0.07%     1.58kB / 0B       1.69MB / 0B       5
684e571820dc   testground-grafana                                               30.99%    124.1MiB / 9.717GiB   1.25%     1.93kB / 0B       12.2MB / 69.9MB   11
d9dc9ccabf71   testground-goproxy                                               0.00%     40.75MiB / 9.717GiB   0.41%     636kB / 64.5MB    3.84MB / 8.19kB   19
39ab29d06bbc   tg-dht-find-providers-cf4r16frirfh0varkg7g-cypress-provider-25   26.92%    33.92MiB / 9.717GiB   0.34%     2.91kB / 1.48kB   0B / 0B           9
d524639cf182   tg-dht-find-providers-cf4r16frirfh0varkg7g-cypress-provider-1    21.91%    27.02MiB / 9.717GiB   0.27%     2.83kB / 1.48kB   0B / 0B           9
ffc2ac249383   tg-dht-find-providers-cf4r16frirfh0varkg7g-cypress-provider-40   32.47%    30.98MiB / 9.717GiB   0.31%     2.73kB / 1.4kB    0B / 0B           10
f2c154ebaa52   tg-dht-find-providers-cf4r16frirfh0varkg7g-cypress-provider-3    22.68%    33.03MiB / 9.717GiB   0.33%     3.25kB / 1.48kB   0B / 0B           9
615ea69f686f   tg-dht-find-providers-cf4r16frirfh0varkg7g-cypress-provider-2    5.09%     33.07MiB / 9.717GiB   0.33%     3.21kB / 1.48kB   0B / 0B           9
feaaa11ff9c3   tg-dht-find-providers-cf4r16frirfh0varkg7g-cypress-provider-4    17.40%    29.96MiB / 9.717GiB   0.30%     3.04kB / 1.48kB   0B / 0B           9
9c6f22a34666   tg-dht-find-providers-cf4r16frirfh0varkg7g-cypress-provider-29   18.93%    25.28MiB / 9.717GiB   0.25%     2.9kB / 1.4kB     0B / 0B           9
09afcb2e77c0   tg-dht-find-providers-cf4r16frirfh0varkg7g-cypress-provider-32   11.72%    20.66MiB / 9.717GiB   0.21%     2.9kB / 1.4kB     0B / 0B           9
22c5152a05e7   tg-dht-find-providers-cf4r16frirfh0varkg7g-cypress-provider-27   18.09%    26.65MiB / 9.717GiB   0.27%     2.91kB / 1.48kB   0B / 0B           9
0b86a7290082   tg-dht-find-providers-cf4r16frirfh0varkg7g-cypress-provider-31   15.09%    24.88MiB / 9.717GiB   0.25%     2.91kB / 1.48kB   0B / 0B           9
59fb4b851d2c   tg-dht-find-providers-cf4r16frirfh0varkg7g-cypress-provider-30   24.73%    26.38MiB / 9.717GiB   0.27%     2.91kB / 1.48kB   0B / 0B           9
cebe4352fff6   tg-dht-find-providers-cf4r16frirfh0varkg7g-cypress-provider-26   18.75%    27.12MiB / 9.717GiB   0.27%     2.96kB / 1.48kB   0B / 0B           9
18a9a7ed9065   tg-dht-find-providers-cf4r16frirfh0varkg7g-cypress-provider-28   16.19%    24.51MiB / 9.717GiB   0.25%     2.91kB / 1.48kB   4.1kB / 0B        9
d920772d23a9   tg-dht-find-providers-cf4r16frirfh0varkg7g-cypress-provider-6    12.53%    19.92MiB / 9.717GiB   0.20%     2.61kB / 1.4kB    0B / 0B           10
ec2af3efa0d5   tg-dht-find-providers-cf4r16frirfh0varkg7g-cypress-provider-5    17.39%    26.65MiB / 9.717GiB   0.27%     2.83kB / 1.48kB   0B / 0B           10
15821a25cfe3   tg-dht-find-providers-cf4r16frirfh0varkg7g-cypress-provider-7    13.31%    23MiB / 9.717GiB      0.23%     2.76kB / 1.48kB   0B / 0B           9
c0d1b51e4277   tg-dht-find-providers-cf4r16frirfh0varkg7g-cypress-provider-8    16.43%    20.09MiB / 9.717GiB   0.20%     2.37kB / 1.48kB   0B / 0B           10
64e6553964ca   tg-dht-find-providers-cf4r16frirfh0varkg7g-cypress-provider-9    17.28%    23.14MiB / 9.717GiB   0.23%     2.56kB / 1.48kB   0B / 0B           9
ca872eae327d   tg-dht-find-providers-cf4r16frirfh0varkg7g-cypress-provider-10   14.01%    15.06MiB / 9.717GiB   0.15%     2.26kB / 1.33kB   0B / 0B           10
b6210efed034   tg-dht-find-providers-cf4r16frirfh0varkg7g-cypress-provider-11   15.24%    16.29MiB / 9.717GiB   0.16%     2.19kB / 1.4kB    0B / 0B           9
2646496cba21   tg-dht-find-providers-cf4r16frirfh0varkg7g-cypress-provider-13   19.60%    18.67MiB / 9.717GiB   0.19%     2.27kB / 1.4kB    0B / 0B           9
dbe51b3d3999   tg-dht-find-providers-cf4r16frirfh0varkg7g-cypress-provider-12   31.39%    22.07MiB / 9.717GiB   0.22%     2.27kB / 1.4kB    0B / 0B           10
ca48c10fb9da   tg-dht-find-providers-cf4r16frirfh0varkg7g-cypress-provider-24   17.63%    21.22MiB / 9.717GiB   0.21%     2.52kB / 1.4kB    0B / 0B           9
b77966690e8d   tg-dht-find-providers-cf4r16frirfh0varkg7g-cypress-provider-14   17.42%    16.14MiB / 9.717GiB   0.16%     2.47kB / 1.33kB   0B / 0B           10
e25ef73edb21   tg-dht-find-providers-cf4r16frirfh0varkg7g-cypress-provider-23   18.14%    16.19MiB / 9.717GiB   0.16%     2.34kB / 1.33kB   0B / 0B           9
95896419eae9   tg-dht-find-providers-cf4r16frirfh0varkg7g-cypress-provider-18   17.85%    25.29MiB / 9.717GiB   0.25%     3.17kB / 1.48kB   0B / 0B           10
6a74d33b8d3c   tg-dht-find-providers-cf4r16frirfh0varkg7g-cypress-provider-49   22.00%    21.16MiB / 9.717GiB   0.21%     2.82kB / 1.4kB    0B / 0B           9
c5cfb2a93ef8   tg-dht-find-providers-cf4r16frirfh0varkg7g-cypress-provider-16   17.56%    21.08MiB / 9.717GiB   0.21%     3.03kB / 1.4kB    0B / 0B           9
03be369f1c44   tg-dht-find-providers-cf4r16frirfh0varkg7g-cypress-provider-48   13.98%    14.97MiB / 9.717GiB   0.15%     2.86kB / 1.4kB    0B / 0B           9
99dc436ecdf7   tg-dht-find-providers-cf4r16frirfh0varkg7g-cypress-provider-47   15.32%    23.66MiB / 9.717GiB   0.24%     3.29kB / 1.48kB   0B / 0B           10
5995bc5c0dd6   tg-dht-find-providers-cf4r16frirfh0varkg7g-cypress-provider-15   7.46%     16.98MiB / 9.717GiB   0.17%     3.17kB / 1.48kB   0B / 0B           10
a75f0846d922   tg-dht-find-providers-cf4r16frirfh0varkg7g-cypress-provider-19   17.88%    18.84MiB / 9.717GiB   0.19%     3.11kB / 1.4kB    0B / 0B           10
6aeded7641bc   tg-dht-find-providers-cf4r16frirfh0varkg7g-cypress-provider-20   10.86%    17.13MiB / 9.717GiB   0.17%     3.17kB / 1.48kB   0B / 0B           9
7735020c170b   tg-dht-find-providers-cf4r16frirfh0varkg7g-cypress-provider-17   9.80%     16.54MiB / 9.717GiB   0.17%     3.17kB / 1.48kB   0B / 0B           9
2f226afcaeb6   tg-dht-find-providers-cf4r16frirfh0varkg7g-cypress-provider-36   15.27%    19.16MiB / 9.717GiB   0.19%     2.9kB / 1.4kB     0B / 0B           9
093f81530e93   tg-dht-find-providers-cf4r16frirfh0varkg7g-cypress-provider-35   11.46%    15.41MiB / 9.717GiB   0.15%     2.73kB / 1.4kB    0B / 0B           9
aa353a9fa0e0   tg-dht-find-providers-cf4r16frirfh0varkg7g-cypress-provider-37   10.44%    17.02MiB / 9.717GiB   0.17%     2.62kB / 1.48kB   0B / 0B           9
4c7cc86c1345   tg-dht-find-providers-cf4r16frirfh0varkg7g-cypress-provider-38   14.96%    15.99MiB / 9.717GiB   0.16%     2.4kB / 1.4kB     0B / 0B           9
CONTAINER ID   NAME                                                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
6a74d33b8d3c   tg-dht-find-providers-cf4r16frirfh0varkg7g-cypress-provider-49   1.47%     34.27MiB / 9.717GiB   0.34%     6.79kB / 5.05kB   0B / 0B           9
03be369f1c44   tg-dht-find-providers-cf4r16frirfh0varkg7g-cypress-provider-48   6.21%     34.84MiB / 9.717GiB   0.35%     5.37kB / 2.93kB   0B / 0B           10
99dc436ecdf7   tg-dht-find-providers-cf4r16frirfh0varkg7g-cypress-provider-47   11.26%    32.89MiB / 9.717GiB   0.33%     4.16kB / 1.64kB   0B / 0B           10
ffc2ac249383   tg-dht-find-providers-cf4r16frirfh0varkg7g-cypress-provider-40   1.78%     35.36MiB / 9.717GiB   0.36%     8.93kB / 4.83kB   0B / 0B           10
4c7cc86c1345   tg-dht-find-providers-cf4r16frirfh0varkg7g-cypress-provider-38   15.05%    35.29MiB / 9.717GiB   0.35%     6.4kB / 5.89kB    0B / 0B           9
aa353a9fa0e0   tg-dht-find-providers-cf4r16frirfh0varkg7g-cypress-provider-37   1.49%     33.68MiB / 9.717GiB   0.34%     4.99kB / 3.48kB   0B / 0B           9
