CONTAINER ID   NAME                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
f2621123b8c3   testground-sidecar        0.00%     9.508MiB / 7.764GiB   0.12%     21.2kB / 20.1kB   119kB / 0B       7
08c06c1ab7a4   testground-influxdb       4.66%     131.1MiB / 7.764GiB   1.65%     120MB / 5.78MB    98.1MB / 165MB   22
91e3aed4e4bd   testground-sync-service   9.63%     42.71MiB / 7.764GiB   0.54%     6.13MB / 15MB     41.4MB / 0B      22
85ba6ad14e24   testground-redis          0.32%     10.75MiB / 7.764GiB   0.14%     29.2kB / 0B       11.6MB / 0B      5
81fa98668db3   testground-grafana        0.90%     200.3MiB / 7.764GiB   2.52%     1.5MB / 489kB     155MB / 2.42MB   16
5b04da926e05   testground-goproxy        0.01%     224.8MiB / 7.764GiB   2.83%     2.58MB / 258MB    194MB / 47.7MB   19
CONTAINER ID   NAME                                                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
f2621123b8c3   testground-sidecar                                               14.56%    10.5MiB / 7.764GiB    0.13%     22kB / 21.2kB     119kB / 0B       8
08c06c1ab7a4   testground-influxdb                                              2.96%     131.1MiB / 7.764GiB   1.65%     120MB / 5.79MB    98.1MB / 165MB   22
91e3aed4e4bd   testground-sync-service                                          10.52%    42.72MiB / 7.764GiB   0.54%     6.13MB / 15MB     41.4MB / 0B      22
85ba6ad14e24   testground-redis                                                 0.20%     10.75MiB / 7.764GiB   0.14%     29.3kB / 0B       11.6MB / 0B      5
81fa98668db3   testground-grafana                                               0.14%     200.3MiB / 7.764GiB   2.52%     1.5MB / 489kB     155MB / 2.42MB   16
5b04da926e05   testground-goproxy                                               0.01%     224.8MiB / 7.764GiB   2.83%     2.58MB / 258MB    194MB / 47.7MB   19
970aa1815cc9   tg-dht-find-providers-cf3esdnrirfu8afrcca0-cypress-provider-33   0.09%     33.55MiB / 7.764GiB   0.42%     2.84kB / 1.8kB    0B / 0B          8
f13da1e0ef97   tg-dht-find-providers-cf3esdnrirfu8afrcca0-cypress-provider-1    0.09%     34.39MiB / 7.764GiB   0.43%     2.82kB / 1.8kB    0B / 0B          8
c7f79c43decd   tg-dht-find-providers-cf3esdnrirfu8afrcca0-cypress-provider-0    14.38%    33.77MiB / 7.764GiB   0.42%     2.62kB / 1.8kB    0B / 0B          8
de6b84d0fff3   tg-dht-find-providers-cf3esdnrirfu8afrcca0-cypress-provider-29   8.66%     33.45MiB / 7.764GiB   0.42%     2.62kB / 1.8kB    0B / 0B          8
4d4a38b68dc1   tg-dht-find-providers-cf3esdnrirfu8afrcca0-cypress-provider-31   48.62%    32.37MiB / 7.764GiB   0.41%     2.53kB / 1.8kB    0B / 0B          8
303546d63d56   tg-dht-find-providers-cf3esdnrirfu8afrcca0-cypress-provider-27   34.15%    34.32MiB / 7.764GiB   0.43%     2.7kB / 1.8kB     0B / 0B          8
54b89e8aa92c   tg-dht-find-providers-cf3esdnrirfu8afrcca0-cypress-provider-6    9.16%     33.37MiB / 7.764GiB   0.42%     3.08kB / 1.8kB    0B / 0B          8
d8b723f0ad2e   tg-dht-find-providers-cf3esdnrirfu8afrcca0-cypress-provider-28   8.68%     32.42MiB / 7.764GiB   0.41%     3.12kB / 1.8kB    0B / 0B          9
eb0c6d04f237   tg-dht-find-providers-cf3esdnrirfu8afrcca0-cypress-provider-32   32.96%    28.12MiB / 7.764GiB   0.35%     2.74kB / 1.8kB    0B / 0B          9
c66027c78478   tg-dht-find-providers-cf3esdnrirfu8afrcca0-cypress-provider-7    3.29%     32.44MiB / 7.764GiB   0.41%     3.38kB / 1.8kB    0B / 0B          9
b3864415e558   tg-dht-find-providers-cf3esdnrirfu8afrcca0-cypress-provider-2    0.04%     32.93MiB / 7.764GiB   0.41%     3.33kB / 1.8kB    0B / 0B          9
8f4087c46c61   tg-dht-find-providers-cf3esdnrirfu8afrcca0-cypress-provider-26   25.56%    32.92MiB / 7.764GiB   0.41%     3.25kB / 1.8kB    0B / 0B          8
dfd27a830ac3   tg-dht-find-providers-cf3esdnrirfu8afrcca0-cypress-provider-3    24.02%    32.81MiB / 7.764GiB   0.41%     3.33kB / 1.8kB    0B / 0B          9
442bb1436a85   tg-dht-find-providers-cf3esdnrirfu8afrcca0-cypress-provider-30   22.42%    25.98MiB / 7.764GiB   0.33%     3.29kB / 1.8kB    0B / 0B          8
c8b7f7f8c6e5   tg-dht-find-providers-cf3esdnrirfu8afrcca0-cypress-provider-35   24.94%    27.16MiB / 7.764GiB   0.34%     3.12kB / 1.8kB    0B / 0B          9
f0d990124c11   tg-dht-find-providers-cf3esdnrirfu8afrcca0-cypress-provider-5    22.74%    29.15MiB / 7.764GiB   0.37%     3.25kB / 1.8kB    0B / 0B          9
84e4739d5402   tg-dht-find-providers-cf3esdnrirfu8afrcca0-cypress-provider-4    23.13%    29.95MiB / 7.764GiB   0.38%     3.42kB / 1.8kB    0B / 0B          9
b2575e2bb2af   tg-dht-find-providers-cf3esdnrirfu8afrcca0-cypress-provider-34   22.69%    29.06MiB / 7.764GiB   0.37%     3.25kB / 1.8kB    0B / 0B          8
05f5bbbe2c60   tg-dht-find-providers-cf3esdnrirfu8afrcca0-cypress-provider-37   21.59%    29.1MiB / 7.764GiB    0.37%     3.12kB / 1.8kB    0B / 0B          9
8a06c1804b2b   tg-dht-find-providers-cf3esdnrirfu8afrcca0-cypress-provider-36   21.91%    20.44MiB / 7.764GiB   0.26%     2.75kB / 1.8kB    0B / 0B          9
f50682c005f8   tg-dht-find-providers-cf3esdnrirfu8afrcca0-cypress-provider-39   41.06%    32.85MiB / 7.764GiB   0.41%     2.79kB / 1.8kB    0B / 0B          8
53a4bd2656b5   tg-dht-find-providers-cf3esdnrirfu8afrcca0-cypress-provider-38   29.59%    33.56MiB / 7.764GiB   0.42%     2.79kB / 1.8kB    0B / 0B          8
2ab8a4d01836   tg-dht-find-providers-cf3esdnrirfu8afrcca0-cypress-provider-40   27.47%    32.78MiB / 7.764GiB   0.41%     2.44kB / 1.8kB    0B / 0B          8
af200f0c5da5   tg-dht-find-providers-cf3esdnrirfu8afrcca0-cypress-provider-42   10.90%    33.49MiB / 7.764GiB   0.42%     2.65kB / 1.8kB    0B / 0B          8
c02256904f5e   tg-dht-find-providers-cf3esdnrirfu8afrcca0-cypress-provider-41   45.59%    34.21MiB / 7.764GiB   0.43%     2.53kB / 1.8kB    0B / 0B          9
56825a77e4cc   tg-dht-find-providers-cf3esdnrirfu8afrcca0-cypress-provider-44   22.39%    33.55MiB / 7.764GiB   0.42%     2.82kB / 1.8kB    0B / 0B          8
6df06a0a2354   tg-dht-find-providers-cf3esdnrirfu8afrcca0-cypress-provider-43   6.31%     32.93MiB / 7.764GiB   0.41%     2.96kB / 1.8kB    0B / 0B          9
bec219859b5e   tg-dht-find-providers-cf3esdnrirfu8afrcca0-cypress-provider-47   31.44%    26.49MiB / 7.764GiB   0.33%     2.87kB / 1.8kB    0B / 0B          8
b853665cea86   tg-dht-find-providers-cf3esdnrirfu8afrcca0-cypress-provider-46   14.21%    33.02MiB / 7.764GiB   0.42%     3.17kB / 1.8kB    0B / 0B          9
4bae46719865   tg-dht-find-providers-cf3esdnrirfu8afrcca0-cypress-provider-45   15.17%    33.63MiB / 7.764GiB   0.42%     3.17kB / 1.8kB    0B / 0B          8
00fa784ac7e5   tg-dht-find-providers-cf3esdnrirfu8afrcca0-cypress-provider-18   30.48%    28.79MiB / 7.764GiB   0.36%     2.74kB / 1.8kB    0B / 0B          8
a12c7acc3421   tg-dht-find-providers-cf3esdnrirfu8afrcca0-cypress-provider-48   30.31%    25.5MiB / 7.764GiB    0.32%     2.79kB / 1.8kB    0B / 0B          9
781eb219a3ec   tg-dht-find-providers-cf3esdnrirfu8afrcca0-cypress-provider-10   14.77%    32.57MiB / 7.764GiB   0.41%     3.04kB / 1.8kB    0B / 0B          9
d57e4bc7cff6   tg-dht-find-providers-cf3esdnrirfu8afrcca0-cypress-provider-9    21.23%    32.62MiB / 7.764GiB   0.41%     3.04kB / 1.8kB    0B / 0B          8
f4eff0ade32d   tg-dht-find-providers-cf3esdnrirfu8afrcca0-cypress-provider-11   12.88%    34.08MiB / 7.764GiB   0.43%     2.87kB / 1.8kB    0B / 0B          8
e72764c181d7   tg-dht-find-providers-cf3esdnrirfu8afrcca0-cypress-provider-49   21.42%    33.2MiB / 7.764GiB    0.42%     2.87kB / 1.8kB    0B / 0B          8
3b4e3317bf27   tg-dht-find-providers-cf3esdnrirfu8afrcca0-cypress-provider-15   36.61%    33.18MiB / 7.764GiB   0.42%     2.75kB / 1.8kB    0B / 0B          8
b9131b6ed372   tg-dht-find-providers-cf3esdnrirfu8afrcca0-cypress-provider-16   36.81%    32.97MiB / 7.764GiB   0.41%     2.65kB / 1.8kB    0B / 0B          9
44e4c8b8a52e   tg-dht-find-providers-cf3esdnrirfu8afrcca0-cypress-provider-17   48.58%    34.79MiB / 7.764GiB   0.44%     2.75kB / 1.8kB    0B / 0B          8
