CONTAINER ID   NAME                                                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
2d704abf0204   testground-sidecar                                               0.07%     12.02MiB / 9.717GiB   0.12%     1.59kB / 1.19kB   6.24MB / 0B       9
39e8864b39c7   testground-influxdb                                              89.34%    17.62MiB / 9.717GiB   0.18%     902B / 150B       11.5MB / 4.1kB    15
03abcb907719   testground-sync-service                                          0.34%     9.055MiB / 9.717GiB   0.09%     3.92kB / 2.45kB   823kB / 0B        9
43e3bc3dcbde   testground-redis                                                 0.33%     6.57MiB / 9.717GiB    0.07%     712B / 0B         639kB / 0B        5
423d63d63251   testground-grafana                                               53.24%    127.2MiB / 9.717GiB   1.28%     974B / 0B         16.2MB / 72.6MB   11
e735edd4475e   testground-goproxy                                               0.01%     50.21MiB / 9.717GiB   0.50%     626kB / 64.5MB    13.7MB / 8.19kB   19
36a0cd42d1d9   tg-dht-find-providers-cf4u3c7rirfmn2slbic0-cypress-provider-44   29.96%    33.38MiB / 9.717GiB   0.34%     2.34kB / 1.4kB    0B / 0B           9
CONTAINER ID   NAME                                                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
36a0cd42d1d9   tg-dht-find-providers-cf4u3c7rirfmn2slbic0-cypress-provider-44   0.32%     33.55MiB / 9.717GiB   0.34%     3.07kB / 1.55kB   0B / 0B           9
2d704abf0204   testground-sidecar                                               3.57%     12.89MiB / 9.717GiB   0.13%     2.88kB / 3.08kB   6.24MB / 0B       9
39e8864b39c7   testground-influxdb                                              35.83%    18.06MiB / 9.717GiB   0.18%     1.45kB / 450B     11.5MB / 4.1kB    15
03abcb907719   testground-sync-service                                          1.39%     9.301MiB / 9.717GiB   0.09%     11.5kB / 7.96kB   823kB / 0B        9
43e3bc3dcbde   testground-redis                                                 0.31%     6.57MiB / 9.717GiB    0.07%     1.01kB / 0B       639kB / 0B        5
423d63d63251   testground-grafana                                               44.21%    130.8MiB / 9.717GiB   1.31%     1.18kB / 0B       16.2MB / 73.8MB   11
e735edd4475e   testground-goproxy                                               0.00%     50.21MiB / 9.717GiB   0.50%     626kB / 64.5MB    13.7MB / 8.19kB   19
8f00d117535f   tg-dht-find-providers-cf4u3c7rirfmn2slbic0-cypress-provider-25   11.58%    34.59MiB / 9.717GiB   0.35%     2.83kB / 1.48kB   0B / 0B           9
b7f4b2676d6b   tg-dht-find-providers-cf4u3c7rirfmn2slbic0-cypress-provider-6    6.91%     33.12MiB / 9.717GiB   0.33%     2.83kB / 1.48kB   0B / 0B           9
a5ca0354c2d4   tg-dht-find-providers-cf4u3c7rirfmn2slbic0-cypress-provider-2    24.25%    32.89MiB / 9.717GiB   0.33%     2.52kB / 1.4kB    0B / 0B           10
8d9875570ab9   tg-dht-find-providers-cf4u3c7rirfmn2slbic0-cypress-provider-39   31.44%    27.91MiB / 9.717GiB   0.28%     2.52kB / 1.4kB    0B / 0B           12
54e2f6c7947e   tg-dht-find-providers-cf4u3c7rirfmn2slbic0-cypress-provider-3    14.36%    32.84MiB / 9.717GiB   0.33%     3.33kB / 1.48kB   0B / 0B           10
01ffe77dc0f8   tg-dht-find-providers-cf4u3c7rirfmn2slbic0-cypress-provider-4    18.78%    32.92MiB / 9.717GiB   0.33%     3.25kB / 1.48kB   0B / 0B           10
e33e204a59b4   tg-dht-find-providers-cf4u3c7rirfmn2slbic0-cypress-provider-18   20.04%    30.56MiB / 9.717GiB   0.31%     3.1kB / 1.54kB    0B / 0B           9
4e798fbe9033   tg-dht-find-providers-cf4u3c7rirfmn2slbic0-cypress-provider-5    22.27%    27.32MiB / 9.717GiB   0.27%     2.96kB / 1.48kB   0B / 0B           9
658b32aa5f6b   tg-dht-find-providers-cf4u3c7rirfmn2slbic0-cypress-provider-47   15.73%    20.01MiB / 9.717GiB   0.20%     2.65kB / 1.4kB    0B / 0B           9
1eea4b6011fa   tg-dht-find-providers-cf4u3c7rirfmn2slbic0-cypress-provider-12   20.01%    24.24MiB / 9.717GiB   0.24%     2.69kB / 1.4kB    0B / 0B           9
