CONTAINER ID   NAME                                                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
2d704abf0204   testground-sidecar                                               2.86%     18.16MiB / 9.717GiB   0.18%     29.1kB / 36.5kB   6.35MB / 406kB    11
39e8864b39c7   testground-influxdb                                              1.02%     88.35MiB / 9.717GiB   0.89%     21MB / 1.18MB     14.4MB / 67.2MB   23
03abcb907719   testground-sync-service                                          22.89%    16.9MiB / 9.717GiB    0.17%     927kB / 2.37MB    885kB / 0B        19
43e3bc3dcbde   testground-redis                                                 0.23%     6.57MiB / 9.717GiB    0.07%     5.39kB / 0B       639kB / 0B        5
423d63d63251   testground-grafana                                               1.12%     189.6MiB / 9.717GiB   1.91%     18.1kB / 4.23kB   16.7MB / 74MB     19
e735edd4475e   testground-goproxy                                               0.01%     49.8MiB / 9.717GiB    0.50%     700kB / 64.6MB    13.7MB / 8.19kB   19
4abef86380d1   tg-dht-find-providers-cf4u5pfrirfmn2slbicg-cypress-provider-30   0.34%     34.38MiB / 9.717GiB   0.35%     2.93kB / 1.8kB    0B / 0B           9
CONTAINER ID   NAME                                                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
14b5fe978347   tg-dht-find-providers-cf4u5pfrirfmn2slbicg-cypress-provider-33   16.24%    33MiB / 9.717GiB      0.33%     3.08kB / 1.8kB    0B / 0B           9
4abef86380d1   tg-dht-find-providers-cf4u5pfrirfmn2slbicg-cypress-provider-30   1.32%     34.5MiB / 9.717GiB    0.35%     3.72kB / 1.85kB   0B / 0B           9
87a0cde58cec   tg-dht-find-providers-cf4u5pfrirfmn2slbicg-cypress-provider-29   7.44%     33.72MiB / 9.717GiB   0.34%     3.16kB / 1.8kB    0B / 0B           9
2d704abf0204   testground-sidecar                                               10.34%    19.09MiB / 9.717GiB   0.19%     32.3kB / 40.8kB   6.35MB / 406kB    11
39e8864b39c7   testground-influxdb                                              1.15%     88.36MiB / 9.717GiB   0.89%     21MB / 1.18MB     14.4MB / 67.2MB   23
03abcb907719   testground-sync-service                                          19.58%    16.31MiB / 9.717GiB   0.16%     940kB / 2.38MB    885kB / 0B        19
