CONTAINER ID   NAME                                                            CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
f1167b9c7c43   testground-sidecar                                              0.06%     11.01MiB / 9.717GiB   0.11%     1.63kB / 1.19kB   561kB / 0B       10
cea52fb62cf0   testground-influxdb                                             30.15%    5.762MiB / 9.717GiB   0.06%     8.33kB / 1.84kB   520kB / 8.19kB   11
0eba4810562a   testground-sync-service                                         0.43%     8.66MiB / 9.717GiB    0.09%     3.96kB / 2.45kB   360kB / 0B       9
0e8f72f6ad2d   testground-redis                                                0.28%     5.965MiB / 9.717GiB   0.06%     796B / 0B         0B / 0B          5
068395f890ea   testground-grafana                                              83.65%    127.3MiB / 9.717GiB   1.28%     1.02kB / 0B       168kB / 73.8MB   11
ea413a91af20   testground-goproxy                                              0.01%     39.15MiB / 9.717GiB   0.39%     635kB / 64.5MB    332kB / 8.19kB   19
83aa1b27fc49   tg-dht-find-providers-cf5cg07rirfv54rn04h0-cypress-provider-0   0.50%     34.23MiB / 9.717GiB   0.34%     2.61kB / 1.4kB    0B / 0B          10
               --                                                              0.00%     0B / 0B               0.00%     0B / 0B           0B / 0B          0
CONTAINER ID   NAME                                                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
08ae97d5f936   tg-dht-find-providers-cf5cg07rirfv54rn04h0-cypress-provider-32   26.06%    34.09MiB / 9.717GiB   0.34%     2.4kB / 1.4kB     0B / 0B          9
903f4f9c6687   tg-dht-find-providers-cf5cg07rirfv54rn04h0-cypress-provider-31   24.35%    31.55MiB / 9.717GiB   0.32%     2.4kB / 1.4kB     0B / 0B          9
9c4a58dafe55   tg-dht-find-providers-cf5cg07rirfv54rn04h0-cypress-provider-1    27.11%    25.84MiB / 9.717GiB   0.26%     2.4kB / 1.4kB     0B / 0B          9
83aa1b27fc49   tg-dht-find-providers-cf5cg07rirfv54rn04h0-cypress-provider-0    0.40%     34.45MiB / 9.717GiB   0.35%     3.23kB / 1.55kB   0B / 0B          10
f1167b9c7c43   testground-sidecar                                               5.63%     12.27MiB / 9.717GiB   0.12%     3.69kB / 3.97kB   561kB / 0B       10
cea52fb62cf0   testground-influxdb                                              15.54%    5.883MiB / 9.717GiB   0.06%     9.42kB / 2.5kB    520kB / 8.19kB   11
0eba4810562a   testground-sync-service                                          0.97%     9.102MiB / 9.717GiB   0.09%     14.7kB / 10.3kB   360kB / 0B       9
0e8f72f6ad2d   testground-redis                                                 0.17%     5.965MiB / 9.717GiB   0.06%     1.3kB / 0B        0B / 0B          5
068395f890ea   testground-grafana                                               21.91%    127.2MiB / 9.717GiB   1.28%     1.59kB / 0B       168kB / 73.8MB   11
ea413a91af20   testground-goproxy                                               0.02%     39.15MiB / 9.717GiB   0.39%     635kB / 64.5MB    332kB / 8.19kB   19
3c6a41427355   tg-dht-find-providers-cf5cg07rirfv54rn04h0-cypress-provider-37   17.14%    24.88MiB / 9.717GiB   0.25%     2.58kB / 1.48kB   0B / 0B          9
8d1c15ec0067   tg-dht-find-providers-cf5cg07rirfv54rn04h0-cypress-provider-13   15.77%    24.31MiB / 9.717GiB   0.24%     2.44kB / 1.4kB    0B / 0B          9
3ccd345892d7   tg-dht-find-providers-cf5cg07rirfv54rn04h0-cypress-provider-40   19.65%    25.04MiB / 9.717GiB   0.25%     2.4kB / 1.4kB     0B / 0B          9
3cd6d46e3f90   tg-dht-find-providers-cf5cg07rirfv54rn04h0-cypress-provider-36   17.42%    25.99MiB / 9.717GiB   0.26%     2.49kB / 1.48kB   0B / 0B          9
276627c37373   tg-dht-find-providers-cf5cg07rirfv54rn04h0-cypress-provider-29   16.19%    20.96MiB / 9.717GiB   0.21%     2.35kB / 1.4kB    0B / 0B          10
301396ecf3d6   tg-dht-find-providers-cf5cg07rirfv54rn04h0-cypress-provider-28   17.09%    19.34MiB / 9.717GiB   0.19%     2.31kB / 1.4kB    0B / 0B          9
7dfa592c6f77   tg-dht-find-providers-cf5cg07rirfv54rn04h0-cypress-provider-35   30.33%    28.4MiB / 9.717GiB    0.29%     2.51kB / 1.47kB   0B / 0B          9
43ed3a768646   tg-dht-find-providers-cf5cg07rirfv54rn04h0-cypress-provider-34   17.78%    21.54MiB / 9.717GiB   0.22%     2.52kB / 1.4kB    0B / 0B          9
