CONTAINER ID   NAME                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
3b9ab2a5eea5   testground-sidecar        0.00%     9.652MiB / 9.717GiB   0.10%     1.12kB / 638B     618kB / 0B       8
2c32210d05e0   testground-influxdb       212.58%   8.242MiB / 9.717GiB   0.08%     600B / 0B         3.66MB / 4.1kB   15
eb68d6aafc4a   testground-sync-service   0.24%     8.422MiB / 9.717GiB   0.08%     1.78kB / 1.03kB   918kB / 0B       10
f016ec7f9be2   testground-redis          0.42%     6.004MiB / 9.717GiB   0.06%     670B / 0B         688kB / 0B       5
3941732545a6   testground-grafana        82.87%    111.2MiB / 9.717GiB   1.12%     890B / 0B         700kB / 64.6MB   11
174b6882ded9   testground-goproxy        0.22%     39.77MiB / 9.717GiB   0.40%     630kB / 64.5MB    242kB / 8.19kB   19
CONTAINER ID   NAME                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
3b9ab2a5eea5   testground-sidecar        0.18%     9.652MiB / 9.717GiB   0.10%     1.23kB / 680B     618kB / 0B       8
2c32210d05e0   testground-influxdb       185.27%   9.582MiB / 9.717GiB   0.10%     670B / 0B         3.94MB / 4.1kB   15
eb68d6aafc4a   testground-sync-service   0.00%     8.422MiB / 9.717GiB   0.08%     1.93kB / 1.12kB   918kB / 0B       10
f016ec7f9be2   testground-redis          0.39%     6.004MiB / 9.717GiB   0.06%     670B / 0B         688kB / 0B       5
3941732545a6   testground-grafana        100.99%   114.8MiB / 9.717GiB   1.15%     890B / 0B         700kB / 69.1MB   11
174b6882ded9   testground-goproxy        0.01%     39.77MiB / 9.717GiB   0.40%     630kB / 64.5MB    242kB / 8.19kB   19
CONTAINER ID   NAME                                                            CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
3b9ab2a5eea5   testground-sidecar                                              9.93%     10.51MiB / 9.717GiB   0.11%     1.55kB / 1.19kB   618kB / 0B       9
2c32210d05e0   testground-influxdb                                             101.05%   8.898MiB / 9.717GiB   0.09%     712B / 0B         3.94MB / 4.1kB   15
eb68d6aafc4a   testground-sync-service                                         1.76%     8.566MiB / 9.717GiB   0.09%     3.92kB / 2.49kB   918kB / 0B       10
f016ec7f9be2   testground-redis                                                0.21%     6.004MiB / 9.717GiB   0.06%     712B / 0B         688kB / 0B       5
3941732545a6   testground-grafana                                              59.18%    115.8MiB / 9.717GiB   1.16%     932B / 0B         700kB / 71.4MB   11
174b6882ded9   testground-goproxy                                              0.01%     39.77MiB / 9.717GiB   0.40%     630kB / 64.5MB    242kB / 8.19kB   19
f85d5ea62252   tg-dht-find-providers-cf448uvrirfuld946hd0-cypress-provider-4   46.32%    32.45MiB / 9.717GiB   0.33%     2.22kB / 1.33kB   0B / 0B          10
               --                                                              0.00%     0B / 0B               0.00%     0B / 0B           0B / 0B          0
CONTAINER ID   NAME                                                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
648d6cdda6a8   tg-dht-find-providers-cf448uvrirfuld946hd0-cypress-provider-38   42.14%    33.83MiB / 9.717GiB   0.34%     2kB / 1.33kB      0B / 0B          9
a40d2c50d5b9   tg-dht-find-providers-cf448uvrirfuld946hd0-cypress-provider-28   22.50%    34.52MiB / 9.717GiB   0.35%     2.49kB / 1.4kB    0B / 0B          11
f85d5ea62252   tg-dht-find-providers-cf448uvrirfuld946hd0-cypress-provider-4    0.07%     32.58MiB / 9.717GiB   0.33%     2.94kB / 1.48kB   0B / 0B          10
3b9ab2a5eea5   testground-sidecar                                               3.81%     11.73MiB / 9.717GiB   0.12%     3.28kB / 3.59kB   618kB / 0B       9
2c32210d05e0   testground-influxdb                                              40.13%    9.391MiB / 9.717GiB   0.09%     1.49kB / 450B     3.94MB / 4.1kB   15
eb68d6aafc4a   testground-sync-service                                          1.05%     8.855MiB / 9.717GiB   0.09%     12.9kB / 9.03kB   918kB / 0B       10
f016ec7f9be2   testground-redis                                                 0.24%     6.004MiB / 9.717GiB   0.06%     1.12kB / 0B       688kB / 0B       5
3941732545a6   testground-grafana                                               42.17%    116.6MiB / 9.717GiB   1.17%     1.34kB / 0B       700kB / 73.7MB   11
174b6882ded9   testground-goproxy                                               0.00%     39.77MiB / 9.717GiB   0.40%     630kB / 64.5MB    242kB / 8.19kB   19
715784e4e8ef   tg-dht-find-providers-cf448uvrirfuld946hd0-cypress-provider-0    15.07%    25.57MiB / 9.717GiB   0.26%     2.66kB / 1.48kB   0B / 0B          10
97b9c1a6a618   tg-dht-find-providers-cf448uvrirfuld946hd0-cypress-provider-37   24.52%    33.93MiB / 9.717GiB   0.34%     2.52kB / 1.4kB    0B / 0B          9
a8f12ab69ae6   tg-dht-find-providers-cf448uvrirfuld946hd0-cypress-provider-5    30.51%    28.53MiB / 9.717GiB   0.29%     2.4kB / 1.4kB     0B / 0B          10
77b1ed580dca   tg-dht-find-providers-cf448uvrirfuld946hd0-cypress-provider-34   19.41%    28.62MiB / 9.717GiB   0.29%     2.83kB / 1.48kB   0B / 0B          9
fe8c87905191   tg-dht-find-providers-cf448uvrirfuld946hd0-cypress-provider-6    26.50%    33.7MiB / 9.717GiB    0.34%     2.77kB / 1.4kB    0B / 0B          9
e7587cf03b28   tg-dht-find-providers-cf448uvrirfuld946hd0-cypress-provider-36   16.50%    19.43MiB / 9.717GiB   0.20%     2.73kB / 1.4kB    0B / 0B          9
8a719f294c5e   tg-dht-find-providers-cf448uvrirfuld946hd0-cypress-provider-31   21.39%    22.18MiB / 9.717GiB   0.22%     2.65kB / 1.4kB    0B / 0B          9
3effeeedfbea   tg-dht-find-providers-cf448uvrirfuld946hd0-cypress-provider-30   17.49%    31.22MiB / 9.717GiB   0.31%     3.08kB / 1.48kB   0B / 0B          10
52a3359e9174   tg-dht-find-providers-cf448uvrirfuld946hd0-cypress-provider-1    20.20%    32.97MiB / 9.717GiB   0.33%     3.08kB / 1.48kB   0B / 0B          9
8baf21f6f8c3   tg-dht-find-providers-cf448uvrirfuld946hd0-cypress-provider-35   18.54%    25MiB / 9.717GiB      0.25%     3.17kB / 1.48kB   0B / 0B          9
fa1a973b029f   tg-dht-find-providers-cf448uvrirfuld946hd0-cypress-provider-32   18.70%    21.5MiB / 9.717GiB    0.22%     2.78kB / 1.4kB    0B / 0B          9
