CONTAINER ID   NAME                                                            CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
72120b60ce44   testground-sidecar                                              5.35%     18.64MiB / 9.717GiB   0.19%     65.8kB / 79.4kB   344kB / 1.11MB   12
8239645cd61a   testground-influxdb                                             2.88%     50.29MiB / 9.717GiB   0.51%     27.3MB / 1.43MB   193kB / 65.8MB   23
1e14dc65d07b   testground-sync-service                                         42.87%    17.07MiB / 9.717GiB   0.17%     1.73MB / 4.64MB   69.6kB / 0B      23
e8597c657644   testground-redis                                                0.29%     5.957MiB / 9.717GiB   0.06%     13.5kB / 0B       0B / 0B          5
5e98acc29343   testground-grafana                                              0.42%     174.4MiB / 9.717GiB   1.75%     39.1kB / 8.49kB   180kB / 74.1MB   19
18f03c61dc96   testground-goproxy                                              0.01%     39.26MiB / 9.717GiB   0.39%     1.26MB / 129MB    86kB / 16.4kB    19
d458af281f9e   tg-dht-find-providers-cf5d84nrirfvjf9ah5v0-cypress-provider-0   0.55%     34.23MiB / 9.717GiB   0.34%     2.73kB / 1.8kB    0B / 0B          10
               --                                                              0.00%     0B / 0B               0.00%     0B / 0B           0B / 0B          0
CONTAINER ID   NAME                                                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
2003026cabd4   tg-dht-find-providers-cf5d84nrirfvjf9ah5v0-cypress-provider-34   22.64%    34.07MiB / 9.717GiB   0.34%     2.91kB / 1.8kB    0B / 0B          10
84aec2232309   tg-dht-find-providers-cf5d84nrirfvjf9ah5v0-cypress-provider-19   10.96%    34.41MiB / 9.717GiB   0.35%     3.02kB / 1.8kB    0B / 0B          9
d458af281f9e   tg-dht-find-providers-cf5d84nrirfvjf9ah5v0-cypress-provider-0    0.03%     34.23MiB / 9.717GiB   0.34%     3.31kB / 1.8kB    0B / 0B          10
72120b60ce44   testground-sidecar                                               11.32%    19.27MiB / 9.717GiB   0.19%     68.6kB / 83kB     344kB / 1.11MB   12
