CONTAINER ID   NAME                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
45b548766d54   testground-sidecar        0.00%     13MiB / 9.717GiB      0.13%     1.12kB / 638B     7.61MB / 0B       8
38f79478a1d7   testground-influxdb       147.03%   23.05MiB / 9.717GiB   0.23%     600B / 0B         20.2MB / 4.1kB    15
5eca2b33740e   testground-sync-service   0.32%     13.33MiB / 9.717GiB   0.13%     1.78kB / 1.03kB   6.46MB / 0B       9
b5c9644cb480   testground-redis          0.24%     7.691MiB / 9.717GiB   0.08%     600B / 0B         3.36MB / 0B       5
94145b5c2d3f   testground-grafana        121.21%   82.01MiB / 9.717GiB   0.82%     890B / 0B         12.6MB / 54.9MB   11
1191883b7293   testground-goproxy        0.05%     42.13MiB / 9.717GiB   0.42%     632kB / 64.5MB    7.54MB / 8.19kB   19
CONTAINER ID   NAME                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
45b548766d54   testground-sidecar        0.00%     13MiB / 9.717GiB      0.13%     1.12kB / 638B     7.61MB / 0B       8
38f79478a1d7   testground-influxdb       220.01%   23.96MiB / 9.717GiB   0.24%     600B / 0B         20.2MB / 4.1kB    15
5eca2b33740e   testground-sync-service   0.00%     13.33MiB / 9.717GiB   0.13%     1.85kB / 1.03kB   6.46MB / 0B       9
b5c9644cb480   testground-redis          0.41%     7.691MiB / 9.717GiB   0.08%     670B / 0B         3.36MB / 0B       5
94145b5c2d3f   testground-grafana        92.26%    112.1MiB / 9.717GiB   1.13%     890B / 0B         13.7MB / 55.8MB   11
1191883b7293   testground-goproxy        0.01%     42.13MiB / 9.717GiB   0.42%     632kB / 64.5MB    7.54MB / 8.19kB   19
CONTAINER ID   NAME                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
45b548766d54   testground-sidecar        0.00%     13MiB / 9.717GiB      0.13%     1.23kB / 680B     7.61MB / 0B       8
38f79478a1d7   testground-influxdb       177.60%   24.19MiB / 9.717GiB   0.24%     670B / 0B         20.2MB / 4.1kB    15
5eca2b33740e   testground-sync-service   1.68%     13.38MiB / 9.717GiB   0.13%     2.13kB / 1.18kB   6.46MB / 0B       9
b5c9644cb480   testground-redis          0.41%     7.691MiB / 9.717GiB   0.08%     670B / 0B         3.36MB / 0B       5
94145b5c2d3f   testground-grafana        81.81%    115.7MiB / 9.717GiB   1.16%     890B / 0B         13.7MB / 59.7MB   11
1191883b7293   testground-goproxy        0.01%     42.13MiB / 9.717GiB   0.42%     632kB / 64.5MB    7.54MB / 8.19kB   19
CONTAINER ID   NAME                                                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
45b548766d54   testground-sidecar                                               0.59%     13.51MiB / 9.717GiB   0.14%     1.59kB / 1.19kB   7.66MB / 0B       9
38f79478a1d7   testground-influxdb                                              110.56%   24.47MiB / 9.717GiB   0.25%     712B / 0B         20.2MB / 4.1kB    15
5eca2b33740e   testground-sync-service                                          1.13%     13.62MiB / 9.717GiB   0.14%     3.96kB / 2.49kB   6.46MB / 0B       9
b5c9644cb480   testground-redis                                                 0.26%     7.691MiB / 9.717GiB   0.08%     712B / 0B         3.36MB / 0B       5
94145b5c2d3f   testground-grafana                                               59.22%    117.1MiB / 9.717GiB   1.18%     1.04kB / 0B       13.7MB / 63.6MB   11
1191883b7293   testground-goproxy                                               0.01%     42.13MiB / 9.717GiB   0.42%     632kB / 64.5MB    7.54MB / 8.19kB   19
915a5f5ea712   tg-dht-find-providers-cf4rt2nrirfim66icns0-cypress-provider-15   0.34%     34.15MiB / 9.717GiB   0.34%     2.59kB / 1.4kB    0B / 0B           10
CONTAINER ID   NAME                                                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
915a5f5ea712   tg-dht-find-providers-cf4rt2nrirfim66icns0-cypress-provider-15   0.08%     34.2MiB / 9.717GiB    0.34%     2.79kB / 1.48kB   0B / 0B           10
45b548766d54   testground-sidecar                                               6.53%     15.46MiB / 9.717GiB   0.16%     3.41kB / 3.66kB   7.66MB / 0B       9
38f79478a1d7   testground-influxdb                                              31.05%    22.96MiB / 9.717GiB   0.23%     8.6kB / 1.83kB    23MB / 8.19kB     8
5eca2b33740e   testground-sync-service                                          0.77%     14.01MiB / 9.717GiB   0.14%     11.4kB / 7.69kB   6.46MB / 0B       10
b5c9644cb480   testground-redis                                                 0.39%     7.691MiB / 9.717GiB   0.08%     1.24kB / 0B       3.36MB / 0B       5
94145b5c2d3f   testground-grafana                                               37.60%    118.6MiB / 9.717GiB   1.19%     1.42kB / 0B       13.7MB / 68.5MB   11
1191883b7293   testground-goproxy                                               0.00%     42.13MiB / 9.717GiB   0.42%     632kB / 64.5MB    7.54MB / 8.19kB   19
f137d27b600e   tg-dht-find-providers-cf4rt2nrirfim66icns0-cypress-provider-16   32.10%    33.85MiB / 9.717GiB   0.34%     2.31kB / 1.4kB    0B / 0B           10
5b2f7aa6e936   tg-dht-find-providers-cf4rt2nrirfim66icns0-cypress-provider-0    25.06%    33.7MiB / 9.717GiB    0.34%     2.44kB / 1.4kB    0B / 0B           10
42f5ae23b29d   tg-dht-find-providers-cf4rt2nrirfim66icns0-cypress-provider-18   6.46%     34.38MiB / 9.717GiB   0.35%     3.04kB / 1.48kB   0B / 0B           9
d962d041472d   tg-dht-find-providers-cf4rt2nrirfim66icns0-cypress-provider-5    15.99%    33.86MiB / 9.717GiB   0.34%     3kB / 1.48kB      0B / 0B           10
dfc18e5cdfc9   tg-dht-find-providers-cf4rt2nrirfim66icns0-cypress-provider-6    32.80%    26.27MiB / 9.717GiB   0.26%     2.39kB / 1.4kB    0B / 0B           9
