CONTAINER ID   NAME                                                            CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1c487e0e6c5   testground-sidecar                                              6.07%     22.65MiB / 9.717GiB   0.23%     1.55kB / 1.19kB   15.5MB / 0B       9
b193216bf597   testground-influxdb                                             106.53%   16.54MiB / 9.717GiB   0.17%     828B / 96B        9.08MB / 4.1kB    15
7415f56822a4   testground-sync-service                                         0.39%     15.91MiB / 9.717GiB   0.16%     3.92kB / 2.45kB   9.4MB / 0B        9
68e4173ea144   testground-redis                                                0.23%     7.668MiB / 9.717GiB   0.08%     754B / 0B         5.71MB / 0B       5
f29fab75207b   testground-grafana                                              67.88%    134.4MiB / 9.717GiB   1.35%     974B / 0B         22.1MB / 71.3MB   11
ea5d693112e9   testground-goproxy                                              0.01%     41.81MiB / 9.717GiB   0.42%     169kB / 244kB     4.38MB / 0B       14
ffa45c3b5d90   tg-dht-find-providers-cf4tbj7rirflj3v60rf0-cypress-provider-0   24.09%    34.15MiB / 9.717GiB   0.34%     2.5kB / 1.4kB     0B / 0B           10
CONTAINER ID   NAME                                                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
32dba98cc1e5   tg-dht-find-providers-cf4tbj7rirflj3v60rf0-cypress-provider-5    22.96%    33.4MiB / 9.717GiB    0.34%     2.4kB / 1.4kB     0B / 0B           9
ffa45c3b5d90   tg-dht-find-providers-cf4tbj7rirflj3v60rf0-cypress-provider-0    0.27%     34.17MiB / 9.717GiB   0.34%     3.19kB / 1.55kB   0B / 0B           10
f1c487e0e6c5   testground-sidecar                                               8.75%     25.62MiB / 9.717GiB   0.26%     3.94kB / 4.48kB   15.6MB / 0B       10
b193216bf597   testground-influxdb                                              31.66%    12.75MiB / 9.717GiB   0.13%     2.42kB / 910B     9.49MB / 8.19kB   11
7415f56822a4   testground-sync-service                                          0.64%     16.13MiB / 9.717GiB   0.16%     9.4kB / 6.37kB    9.4MB / 0B        9
68e4173ea144   testground-redis                                                 0.27%     7.668MiB / 9.717GiB   0.08%     1.13kB / 0B       5.71MB / 0B       5
f29fab75207b   testground-grafana                                               45.49%    137.6MiB / 9.717GiB   1.38%     1.46kB / 0B       22.1MB / 73.6MB   11
ea5d693112e9   testground-goproxy                                               0.01%     41.81MiB / 9.717GiB   0.42%     169kB / 244kB     4.38MB / 0B       14
41cbba047cb7   tg-dht-find-providers-cf4tbj7rirflj3v60rf0-cypress-provider-7    0.20%     34.19MiB / 9.717GiB   0.34%     3.17kB / 1.48kB   0B / 0B           9
19f04d257d59   tg-dht-find-providers-cf4tbj7rirflj3v60rf0-cypress-provider-9    20.58%    28.01MiB / 9.717GiB   0.28%     2.79kB / 1.48kB   0B / 0B           10
7913e9e82861   tg-dht-find-providers-cf4tbj7rirflj3v60rf0-cypress-provider-21   24.22%    28.87MiB / 9.717GiB   0.29%     2.73kB / 1.4kB    0B / 0B           9
b925ff9a14ad   tg-dht-find-providers-cf4tbj7rirflj3v60rf0-cypress-provider-20   23.47%    28.95MiB / 9.717GiB   0.29%     2.91kB / 1.48kB   0B / 0B           9
2f73eab3d73f   tg-dht-find-providers-cf4tbj7rirflj3v60rf0-cypress-provider-2    3.98%     33.67MiB / 9.717GiB   0.34%     3.39kB / 1.55kB   0B / 0B           10
19ecae5fd207   tg-dht-find-providers-cf4tbj7rirflj3v60rf0-cypress-provider-3    12.02%    33.48MiB / 9.717GiB   0.34%     3.54kB / 1.55kB   0B / 0B           10
7a00ea7eb0e0   tg-dht-find-providers-cf4tbj7rirflj3v60rf0-cypress-provider-8    12.03%    31.42MiB / 9.717GiB   0.32%     3.39kB / 1.55kB   0B / 0B           9
6777542adab0   tg-dht-find-providers-cf4tbj7rirflj3v60rf0-cypress-provider-30   15.09%    28.45MiB / 9.717GiB   0.29%     3.57kB / 1.55kB   0B / 0B           9
fde18661dcc7   tg-dht-find-providers-cf4tbj7rirflj3v60rf0-cypress-provider-11   14.56%    28.6MiB / 9.717GiB    0.29%     3.17kB / 1.48kB   0B / 0B           9
bb946fb7e4f2   tg-dht-find-providers-cf4tbj7rirflj3v60rf0-cypress-provider-22   17.27%    29.26MiB / 9.717GiB   0.29%     2.96kB / 1.48kB   0B / 0B           9
395f945d8037   tg-dht-find-providers-cf4tbj7rirflj3v60rf0-cypress-provider-6    16.77%    26.01MiB / 9.717GiB   0.26%     2.91kB / 1.48kB   0B / 0B           9
a00fbcd4c255   tg-dht-find-providers-cf4tbj7rirflj3v60rf0-cypress-provider-12   12.71%    20.32MiB / 9.717GiB   0.20%     2.86kB / 1.4kB    0B / 0B           9
e554c061960c   tg-dht-find-providers-cf4tbj7rirflj3v60rf0-cypress-provider-10   13.97%    22.54MiB / 9.717GiB   0.23%     3.04kB / 1.48kB   0B / 0B           10
4ded34e939ea   tg-dht-find-providers-cf4tbj7rirflj3v60rf0-cypress-provider-1    16.39%    30.3MiB / 9.717GiB    0.30%     3.25kB / 1.55kB   0B / 0B           9
93513360cddf   tg-dht-find-providers-cf4tbj7rirflj3v60rf0-cypress-provider-4    13.44%    29.94MiB / 9.717GiB   0.30%     3.37kB / 1.59kB   0B / 0B           10
6106ca535a9e   tg-dht-find-providers-cf4tbj7rirflj3v60rf0-cypress-provider-23   18.24%    26.91MiB / 9.717GiB   0.27%     2.87kB / 1.48kB   0B / 0B           9
97cf7f25ce7a   tg-dht-find-providers-cf4tbj7rirflj3v60rf0-cypress-provider-24   10.03%    23.22MiB / 9.717GiB   0.23%     2.94kB / 1.48kB   0B / 0B           9
5b655ad12fb2   tg-dht-find-providers-cf4tbj7rirflj3v60rf0-cypress-provider-25   9.79%     18.43MiB / 9.717GiB   0.19%     2.49kB / 1.48kB   0B / 0B           9
e0d266bdf5b2   tg-dht-find-providers-cf4tbj7rirflj3v60rf0-cypress-provider-26   27.52%    26.52MiB / 9.717GiB   0.27%     2.7kB / 1.48kB    0B / 0B           9
8204239572a7   tg-dht-find-providers-cf4tbj7rirflj3v60rf0-cypress-provider-27   21.95%    23.11MiB / 9.717GiB   0.23%     2.48kB / 1.4kB    0B / 0B           9
23dd29eb8275   tg-dht-find-providers-cf4tbj7rirflj3v60rf0-cypress-provider-28   12.77%    25.79MiB / 9.717GiB   0.26%     2.96kB / 1.48kB   0B / 0B           9
7c02b7bd563f   tg-dht-find-providers-cf4tbj7rirflj3v60rf0-cypress-provider-29   16.23%    26.09MiB / 9.717GiB   0.26%     2.75kB / 1.48kB   0B / 0B           9
5c3eb1990bf2   tg-dht-find-providers-cf4tbj7rirflj3v60rf0-cypress-provider-40   13.85%    23.14MiB / 9.717GiB   0.23%     2.79kB / 1.48kB   0B / 0B           10
