1675392013
CONTAINER ID   NAME                 CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O       PIDS
77e073d57c4f   testground-goproxy   114.44%   47.54MiB / 9.717GiB   0.48%     625kB / 64.6MB   11MB / 8.19kB   21
1675392016
CONTAINER ID   NAME                 CPU %     MEM USAGE / LIMIT    MEM %     NET I/O          BLOCK I/O       PIDS
77e073d57c4f   testground-goproxy   0.01%     47.5MiB / 9.717GiB   0.48%     625kB / 64.6MB   11MB / 8.19kB   21
               --                   0.00%     0B / 0B              0.00%     0B / 0B          0B / 0B         0
1675392018
CONTAINER ID   NAME                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O         PIDS
d1c888bf95b2   testground-grafana        103.79%   43.51MiB / 9.717GiB   0.44%     646B / 0B        9.33MB / 54.9MB   8
77e073d57c4f   testground-goproxy        0.01%     47.5MiB / 9.717GiB    0.48%     625kB / 64.6MB   11MB / 8.19kB     21
29c0733604cf   testground-redis          0.20%     6.406MiB / 9.717GiB   0.06%     516B / 0B        512kB / 0B        5
858bd64a2b2e   testground-sync-service   0.00%     9.02MiB / 9.717GiB    0.09%     266B / 0B        561kB / 0B        11
               --                        0.00%     0B / 0B               0.00%     0B / 0B          0B / 0B           0
1675392022
CONTAINER ID   NAME                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
4916943a027e   testground-influxdb       166.71%   8.328MiB / 9.717GiB   0.08%     510B / 0B         2.16MB / 4.1kB   16
858bd64a2b2e   testground-sync-service   1.75%     9.062MiB / 9.717GiB   0.09%     1.78kB / 1.03kB   561kB / 0B       11
29c0733604cf   testground-redis          0.57%     6.406MiB / 9.717GiB   0.06%     600B / 0B         512kB / 0B       5
d1c888bf95b2   testground-grafana        92.84%    120.4MiB / 9.717GiB   1.21%     890B / 0B         9.8MB / 60.8MB   13
77e073d57c4f   testground-goproxy        0.01%     47.5MiB / 9.717GiB    0.48%     625kB / 64.6MB    11MB / 8.19kB    21
38cb4ea6d6df   testground-sidecar        0.00%     9.828MiB / 9.717GiB   0.10%     1.12kB / 638B     1.34MB / 0B      7
1675392025
CONTAINER ID   NAME                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O       PIDS
38cb4ea6d6df   testground-sidecar        0.00%     9.828MiB / 9.717GiB   0.10%     1.12kB / 638B     1.34MB / 0B     7
4916943a027e   testground-influxdb       261.89%   10.09MiB / 9.717GiB   0.10%     600B / 0B         2.6MB / 4.1kB   16
858bd64a2b2e   testground-sync-service   0.00%     9.062MiB / 9.717GiB   0.09%     1.85kB / 1.03kB   561kB / 0B      11
29c0733604cf   testground-redis          0.55%     6.406MiB / 9.717GiB   0.06%     670B / 0B         512kB / 0B      5
d1c888bf95b2   testground-grafana        85.88%    122MiB / 9.717GiB     1.23%     890B / 0B         9.8MB / 67MB    13
77e073d57c4f   testground-goproxy        0.07%     47.5MiB / 9.717GiB    0.48%     625kB / 64.6MB    11MB / 8.19kB   21
1675392028
CONTAINER ID   NAME                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
38cb4ea6d6df   testground-sidecar        0.42%     9.828MiB / 9.717GiB   0.10%     1.23kB / 680B     1.34MB / 0B      7
4916943a027e   testground-influxdb       168.73%   10.8MiB / 9.717GiB    0.11%     670B / 0B         2.85MB / 4.1kB   16
858bd64a2b2e   testground-sync-service   2.08%     9.117MiB / 9.717GiB   0.09%     2.09kB / 1.14kB   561kB / 0B       11
29c0733604cf   testground-redis          0.40%     6.406MiB / 9.717GiB   0.06%     670B / 0B         512kB / 0B       5
d1c888bf95b2   testground-grafana        91.08%    122.6MiB / 9.717GiB   1.23%     890B / 0B         9.8MB / 69.9MB   13
77e073d57c4f   testground-goproxy        0.08%     47.5MiB / 9.717GiB    0.48%     625kB / 64.6MB    11MB / 8.19kB    21
1675392030
CONTAINER ID   NAME                                                            CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
38cb4ea6d6df   testground-sidecar                                              0.02%     10.38MiB / 9.717GiB   0.10%     1.59kB / 1.19kB   1.44MB / 0B      8
4916943a027e   testground-influxdb                                             118.05%   11.26MiB / 9.717GiB   0.11%     902B / 150B       3.19MB / 4.1kB   17
858bd64a2b2e   testground-sync-service                                         1.19%     9.352MiB / 9.717GiB   0.09%     3.92kB / 2.45kB   561kB / 0B       11
29c0733604cf   testground-redis                                                0.36%     6.406MiB / 9.717GiB   0.06%     754B / 0B         512kB / 0B       5
d1c888bf95b2   testground-grafana                                              55.93%    125.4MiB / 9.717GiB   1.26%     1.04kB / 0B       9.8MB / 73.2MB   13
77e073d57c4f   testground-goproxy                                              0.00%     47.5MiB / 9.717GiB    0.48%     625kB / 64.6MB    11MB / 8.19kB    21
e37f3453ed77   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-4   38.74%    35MiB / 9.717GiB      0.35%     2.57kB / 1.4kB    0B / 0B          11
1675392033
CONTAINER ID   NAME                                                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
e37f3453ed77   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-4    0.65%     35.03MiB / 9.717GiB   0.35%     3.19kB / 1.55kB   0B / 0B           11
38cb4ea6d6df   testground-sidecar                                               12.39%    12.71MiB / 9.717GiB   0.13%     4.09kB / 4.54kB   1.44MB / 0B       10
4916943a027e   testground-influxdb                                              30.93%    8.875MiB / 9.717GiB   0.09%     9.63kB / 2.3kB    3.62MB / 8.19kB   10
858bd64a2b2e   testground-sync-service                                          2.27%     9.816MiB / 9.717GiB   0.10%     14.7kB / 10.3kB   561kB / 0B        11
29c0733604cf   testground-redis                                                 0.26%     6.406MiB / 9.717GiB   0.06%     1.29kB / 0B       512kB / 0B        5
d1c888bf95b2   testground-grafana                                               71.59%    138.8MiB / 9.717GiB   1.39%     1.46kB / 0B       10MB / 73.7MB     13
77e073d57c4f   testground-goproxy                                               0.00%     47.5MiB / 9.717GiB    0.48%     625kB / 64.6MB    11MB / 8.19kB     21
8992d05a678b   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-33   0.40%     33.59MiB / 9.717GiB   0.34%     2.87kB / 1.48kB   0B / 0B           11
0917bd0d5fb9   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-23   1.06%     33.11MiB / 9.717GiB   0.33%     2.91kB / 1.48kB   0B / 0B           11
e7a4a78771f0   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-2    0.75%     34.88MiB / 9.717GiB   0.35%     2.87kB / 1.48kB   0B / 0B           11
69636374d798   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-26   0.39%     34.22MiB / 9.717GiB   0.34%     2.83kB / 1.48kB   0B / 0B           11
434f296768f4   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-30   29.47%    33.43MiB / 9.717GiB   0.34%     2.69kB / 1.4kB    0B / 0B           11
08fc70ad22d6   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-27   18.74%    33.99MiB / 9.717GiB   0.34%     2.6kB / 1.4kB     0B / 0B           11
e6b380c1bb0a   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-3    0.23%     33.95MiB / 9.717GiB   0.34%     2.75kB / 1.48kB   0B / 0B           12
1cd4740f0543   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-24   0.35%     33.29MiB / 9.717GiB   0.33%     2.66kB / 1.48kB   0B / 0B           10
446f7340f3d9   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-29   18.51%    33.17MiB / 9.717GiB   0.33%     2.58kB / 1.48kB   0B / 0B           10
b58fb6cb892f   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-22   29.24%    34.01MiB / 9.717GiB   0.34%     2.52kB / 1.4kB    0B / 0B           10
d16fb0974708   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-31   0.85%     33.4MiB / 9.717GiB    0.34%     2.37kB / 1.48kB   0B / 0B           9
3dae8b5797c9   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-25   0.35%     34.67MiB / 9.717GiB   0.35%     2.58kB / 1.48kB   0B / 0B           11
e9f88deb3729   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-0    31.07%    33.87MiB / 9.717GiB   0.34%     2.22kB / 1.4kB    0B / 0B           11
74d2d231c235   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-1    15.33%    33.5MiB / 9.717GiB    0.34%     2.7kB / 1.48kB    8.19kB / 0B       10
981142b9cb0d   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-32   27.77%    34.01MiB / 9.717GiB   0.34%     2.87kB / 1.48kB   0B / 0B           11
f63b67229bb8   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-36   27.94%    34.25MiB / 9.717GiB   0.34%     2.65kB / 1.4kB    0B / 0B           11
c74236fc5369   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-35   47.27%    33.57MiB / 9.717GiB   0.34%     2.78kB / 1.4kB    0B / 0B           8
0711ddb9a2d2   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-38   0.34%     32.77MiB / 9.717GiB   0.33%     3.08kB / 1.48kB   0B / 0B           10
712db100f2b3   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-28   0.23%     33.26MiB / 9.717GiB   0.33%     3.24kB / 1.48kB   0B / 0B           10
2b8df21abaae   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-14   35.69%    33.52MiB / 9.717GiB   0.34%     2.73kB / 1.4kB    0B / 0B           11
4f293028e9f0   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-34   24.34%    34.71MiB / 9.717GiB   0.35%     2.83kB / 1.48kB   0B / 0B           11
aedc155e750b   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-37   38.29%    33.66MiB / 9.717GiB   0.34%     2.75kB / 1.48kB   0B / 0B           10
9c06e4c9b88f   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-8    15.40%    32.96MiB / 9.717GiB   0.33%     2.79kB / 1.48kB   0B / 0B           11
7cd0151ef233   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-6    12.60%    34.72MiB / 9.717GiB   0.35%     2.75kB / 1.48kB   0B / 0B           11
2c7eddaecebf   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-5    2.19%     34.22MiB / 9.717GiB   0.34%     2.58kB / 1.48kB   0B / 0B           11
18c27ced4fd6   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-7    31.67%    34.14MiB / 9.717GiB   0.34%     2.54kB / 1.48kB   0B / 0B           10
722fc04112fa   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-9    54.56%    33.59MiB / 9.717GiB   0.34%     2kB / 1.33kB      0B / 0B           11
8035fd419d25   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-12   24.35%    34.11MiB / 9.717GiB   0.34%     2.31kB / 1.4kB    0B / 0B           11
34de5b14ddcf   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-10   47.84%    33.75MiB / 9.717GiB   0.34%     2.36kB / 1.4kB    0B / 0B           9
271b36fffc44   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-11   51.44%    34.35MiB / 9.717GiB   0.35%     2.39kB / 1.33kB   0B / 0B           11
f4e879d8d545   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-13   50.48%    30.36MiB / 9.717GiB   0.31%     2.39kB / 1.4kB    0B / 0B           11
397af555e186   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-39   66.51%    34.33MiB / 9.717GiB   0.35%     2.52kB / 1.4kB    0B / 0B           11
1a43f0775847   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-15   38.96%    33.56MiB / 9.717GiB   0.34%     3.57kB / 2.93kB   0B / 0B           10
4f4d92bed636   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-19   24.50%    34.12MiB / 9.717GiB   0.34%     3.63kB / 2.93kB   0B / 0B           11
25d2045894ea   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-18   43.60%    30.11MiB / 9.717GiB   0.30%     3.53kB / 2.93kB   0B / 0B           11
b151b32f76c9   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-20   31.31%    26.89MiB / 9.717GiB   0.27%     3.75kB / 3.28kB   0B / 0B           12
726d29636a92   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-21   68.82%    26.02MiB / 9.717GiB   0.26%     3.19kB / 2.86kB   0B / 0B           11
f35be77ec9e1   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-17   39.81%    18.14MiB / 9.717GiB   0.18%     3.11kB / 2.86kB   0B / 0B           10
e5fea626b747   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-16   42.09%    16.52MiB / 9.717GiB   0.17%     3.33kB / 3.21kB   0B / 0B           12
1675392053
CONTAINER ID   NAME                                                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
397af555e186   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-39   5.95%     36.4MiB / 9.717GiB    0.37%     67.7kB / 35.3kB   0B / 0B           11
0711ddb9a2d2   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-38   5.56%     35.16MiB / 9.717GiB   0.35%     63.9kB / 29.7kB   0B / 0B           10
aedc155e750b   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-37   15.40%    40.14MiB / 9.717GiB   0.40%     189kB / 130kB     0B / 0B           13
f63b67229bb8   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-36   6.80%     36.04MiB / 9.717GiB   0.36%     43.6kB / 15kB     0B / 0B           11
c74236fc5369   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-35   5.52%     36.77MiB / 9.717GiB   0.37%     52.7kB / 22.4kB   0B / 0B           11
4f293028e9f0   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-34   7.96%     36.07MiB / 9.717GiB   0.36%     36.4kB / 10.1kB   0B / 0B           11
8992d05a678b   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-33   13.01%    41.36MiB / 9.717GiB   0.42%     240kB / 183kB     0B / 0B           12
981142b9cb0d   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-32   12.82%    41.14MiB / 9.717GiB   0.41%     216kB / 167kB     0B / 0B           13
d16fb0974708   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-31   11.16%    41.07MiB / 9.717GiB   0.41%     206kB / 158kB     0B / 0B           14
434f296768f4   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-30   8.32%     37.53MiB / 9.717GiB   0.38%     79.2kB / 38.9kB   0B / 0B           11
446f7340f3d9   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-29   5.82%     36.73MiB / 9.717GiB   0.37%     64.7kB / 27.9kB   0B / 0B           10
712db100f2b3   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-28   12.09%    40.64MiB / 9.717GiB   0.41%     243kB / 186kB     0B / 0B           15
08fc70ad22d6   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-27   6.44%     36.65MiB / 9.717GiB   0.37%     47.6kB / 14.9kB   0B / 0B           11
69636374d798   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-26   10.33%    41.9MiB / 9.717GiB    0.42%     216kB / 163kB     0B / 0B           16
3dae8b5797c9   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-25   22.81%    41.93MiB / 9.717GiB   0.42%     199kB / 132kB     0B / 0B           13
1cd4740f0543   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-24   14.57%    41.65MiB / 9.717GiB   0.42%     230kB / 183kB     0B / 0B           13
0917bd0d5fb9   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-23   5.97%     36.3MiB / 9.717GiB    0.36%     49.8kB / 19.9kB   0B / 0B           11
b58fb6cb892f   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-22   6.51%     37.01MiB / 9.717GiB   0.37%     62.2kB / 28kB     0B / 0B           11
726d29636a92   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-21   5.71%     38.48MiB / 9.717GiB   0.39%     75.1kB / 39.5kB   0B / 0B           11
b151b32f76c9   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-20   4.23%     36.61MiB / 9.717GiB   0.37%     55.3kB / 21.5kB   0B / 0B           12
4f4d92bed636   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-19   13.21%    39.32MiB / 9.717GiB   0.40%     191kB / 135kB     0B / 0B           11
25d2045894ea   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-18   13.24%    38.58MiB / 9.717GiB   0.39%     193kB / 161kB     0B / 0B           11
f35be77ec9e1   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-17   9.24%     35.41MiB / 9.717GiB   0.36%     45.6kB / 18kB     0B / 0B           11
e5fea626b747   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-16   14.85%    40.95MiB / 9.717GiB   0.41%     247kB / 193kB     0B / 0B           14
1a43f0775847   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-15   9.40%     36.77MiB / 9.717GiB   0.37%     88.8kB / 52.6kB   0B / 0B           11
2b8df21abaae   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-14   15.06%    39.84MiB / 9.717GiB   0.40%     209kB / 160kB     0B / 0B           14
f4e879d8d545   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-13   13.55%    39.66MiB / 9.717GiB   0.40%     215kB / 170kB     0B / 0B           15
8035fd419d25   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-12   2.17%     35.59MiB / 9.717GiB   0.36%     34.6kB / 10.8kB   0B / 0B           11
271b36fffc44   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-11   4.78%     36.71MiB / 9.717GiB   0.37%     71.9kB / 35kB     0B / 0B           11
34de5b14ddcf   tg-dht-find-providers-cfe77anrirflf4l5fdmg-cypress-provider-10   13.20%    39.87MiB / 9.717GiB   0.40%     224kB / 171kB     0B / 0B           15
