CONTAINER ID   NAME                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
8c5a42d8f87c   testground-influxdb       182.85%   26.93MiB / 9.717GiB   0.27%     558B / 0B         54.1MB / 4.1kB   15
a188c685fd65   testground-grafana        119.88%   85.7MiB / 9.717GiB    0.86%     558B / 0B         105MB / 54.9MB   11
662af322a411   testground-goproxy        0.00%     97.79MiB / 9.717GiB   0.98%     170kB / 244kB     66.4MB / 0B      15
406633212a58   testground-sidecar        0.12%     10.44MiB / 9.717GiB   0.10%     5.35kB / 3.86kB   35.2MB / 0B      8
158e46d6cd16   testground-sync-service   0.09%     18.41MiB / 9.717GiB   0.18%     5.77kB / 4.01kB   41.6MB / 0B      11
dd71b4f98e94   testground-redis          0.24%     8.645MiB / 9.717GiB   0.09%     1.61kB / 0B       11.6MB / 0B      5
CONTAINER ID   NAME                                                            CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
8c5a42d8f87c   testground-influxdb                                             138.11%   26.97MiB / 9.717GiB   0.27%     558B / 0B         54.7MB / 4.1kB   15
a188c685fd65   testground-grafana                                              89.01%    117.3MiB / 9.717GiB   1.18%     628B / 0B         130MB / 55.8MB   11
662af322a411   testground-goproxy                                              0.01%     97.79MiB / 9.717GiB   0.98%     170kB / 244kB     66.4MB / 0B      15
406633212a58   testground-sidecar                                              0.00%     10.44MiB / 9.717GiB   0.10%     5.35kB / 3.86kB   35.2MB / 0B      8
158e46d6cd16   testground-sync-service                                         1.03%     18.52MiB / 9.717GiB   0.19%     6.01kB / 4.12kB   41.9MB / 0B      11
dd71b4f98e94   testground-redis                                                0.30%     8.645MiB / 9.717GiB   0.09%     1.61kB / 0B       11.6MB / 0B      5
b327884083b7   tg-dht-find-providers-cf43ijnrirftjv7ca3cg-cypress-provider-7   0.44%     33.87MiB / 9.717GiB   0.34%     2.7kB / 1.4kB     24.4MB / 0B      9
               --                                                              0.00%     0B / 0B               0.00%     0B / 0B           0B / 0B          0
CONTAINER ID   NAME                                                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
b327884083b7   tg-dht-find-providers-cf43ijnrirftjv7ca3cg-cypress-provider-7    1.94%     34.17MiB / 9.717GiB   0.34%     3.79kB / 1.64kB   24.4MB / 0B      9
6c53cc9295c8   tg-dht-find-providers-cf43ijnrirftjv7ca3cg-cypress-provider-4    3.66%     34.83MiB / 9.717GiB   0.35%     3.19kB / 1.48kB   348kB / 0B       10
a2afa7eef6df   tg-dht-find-providers-cf43ijnrirftjv7ca3cg-cypress-provider-0    20.88%    33.5MiB / 9.717GiB    0.34%     2.7kB / 1.48kB    0B / 0B          9
8c5a42d8f87c   testground-influxdb                                              36.39%    27.48MiB / 9.717GiB   0.28%     2.37kB / 1.06kB   55.4MB / 4.1kB   15
a188c685fd65   testground-grafana                                               30.88%    121.5MiB / 9.717GiB   1.22%     1.54kB / 0B       131MB / 63.4MB   11
662af322a411   testground-goproxy                                               0.01%     97.79MiB / 9.717GiB   0.98%     170kB / 244kB     66.4MB / 0B      15
406633212a58   testground-sidecar                                               13.46%    14.61MiB / 9.717GiB   0.15%     10.6kB / 11kB     36.1MB / 4.1kB   9
158e46d6cd16   testground-sync-service                                          2.74%     19.3MiB / 9.717GiB    0.19%     27.6kB / 19.5kB   41.9MB / 0B      11
dd71b4f98e94   testground-redis                                                 0.20%     8.645MiB / 9.717GiB   0.09%     1.95kB / 0B       11.6MB / 0B      5
b6211ec96a09   tg-dht-find-providers-cf43ijnrirftjv7ca3cg-cypress-provider-15   17.45%    33.52MiB / 9.717GiB   0.34%     3.04kB / 1.48kB   315kB / 0B       9
43460d68d72e   tg-dht-find-providers-cf43ijnrirftjv7ca3cg-cypress-provider-16   7.76%     33.36MiB / 9.717GiB   0.34%     3.43kB / 1.55kB   0B / 0B          10
82123a9dc519   tg-dht-find-providers-cf43ijnrirftjv7ca3cg-cypress-provider-17   14.29%    31.55MiB / 9.717GiB   0.32%     3.25kB / 1.48kB   430kB / 0B       10
e1045b09c12d   tg-dht-find-providers-cf43ijnrirftjv7ca3cg-cypress-provider-2    18.78%    30.25MiB / 9.717GiB   0.30%     3.33kB / 1.48kB   86kB / 0B        9
58c3073b4fce   tg-dht-find-providers-cf43ijnrirftjv7ca3cg-cypress-provider-9    12.96%    26.02MiB / 9.717GiB   0.26%     3.17kB / 1.48kB   86kB / 0B        9
70b81ef04d2a   tg-dht-find-providers-cf43ijnrirftjv7ca3cg-cypress-provider-26   19.15%    31.36MiB / 9.717GiB   0.32%     3.21kB / 1.48kB   0B / 0B          9
10859c2bd816   tg-dht-find-providers-cf43ijnrirftjv7ca3cg-cypress-provider-27   17.94%    25.73MiB / 9.717GiB   0.26%     3.17kB / 1.48kB   65.5kB / 0B      9
f7cab8e10e5d   tg-dht-find-providers-cf43ijnrirftjv7ca3cg-cypress-provider-3    20.76%    28.47MiB / 9.717GiB   0.29%     3.17kB / 1.48kB   0B / 0B          9
0a10d181fcc0   tg-dht-find-providers-cf43ijnrirftjv7ca3cg-cypress-provider-5    27.46%    27.23MiB / 9.717GiB   0.27%     2.99kB / 1.4kB    0B / 0B          9
b67dd4a5471a   tg-dht-find-providers-cf43ijnrirftjv7ca3cg-cypress-provider-18   19.11%    32.1MiB / 9.717GiB    0.32%     3.08kB / 1.48kB   102kB / 0B       9
