CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
e970a5748665   condescending_tharp   1.79%     14.04MiB / 9.717GiB   0.14%     98.7kB / 60.2kB   0B / 1.02MB       15
2ea0829f1444   testground-goproxy    117.13%   56.88MiB / 9.717GiB   0.57%     632kB / 64.5MB    5.38MB / 8.19kB   25
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O         PIDS
e970a5748665   condescending_tharp   1.61%     14.2MiB / 9.717GiB    0.14%     105kB / 64.2kB   0B / 1.16MB       15
2ea0829f1444   testground-goproxy    117.25%   64.98MiB / 9.717GiB   0.65%     634kB / 64.5MB   5.38MB / 8.19kB   33
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O         PIDS
e970a5748665   condescending_tharp   1.83%     14.34MiB / 9.717GiB   0.14%     111kB / 67.4kB   0B / 1.16MB       15
2ea0829f1444   testground-goproxy    113.96%   55.78MiB / 9.717GiB   0.56%     637kB / 64.5MB   5.38MB / 8.19kB   25
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O         PIDS
e970a5748665   condescending_tharp   1.93%     14.5MiB / 9.717GiB    0.15%     116kB / 70.5kB   0B / 1.16MB       15
2ea0829f1444   testground-goproxy    115.47%   60.11MiB / 9.717GiB   0.60%     641kB / 64.6MB   5.38MB / 8.19kB   30
CONTAINER ID   NAME                 CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O         PIDS
2ea0829f1444   testground-goproxy   93.80%    47.46MiB / 9.717GiB   0.48%     644kB / 64.6MB   5.38MB / 8.19kB   23
CONTAINER ID   NAME                 CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O         PIDS
2ea0829f1444   testground-goproxy   0.01%     47.46MiB / 9.717GiB   0.48%     644kB / 64.6MB   5.38MB / 8.19kB   23
CONTAINER ID   NAME                 CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O         PIDS
2ea0829f1444   testground-goproxy   0.02%     47.46MiB / 9.717GiB   0.48%     644kB / 64.6MB   5.38MB / 8.19kB   23
da868b885667   testground-grafana   95.99%    27.53MiB / 9.717GiB   0.28%     486B / 0B        1.62MB / 0B       6
CONTAINER ID   NAME                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O         PIDS
da868b885667   testground-grafana        138.03%   62.96MiB / 9.717GiB   0.63%     736B / 0B        2.34MB / 54.9MB   12
2ea0829f1444   testground-goproxy        0.01%     47.46MiB / 9.717GiB   0.48%     644kB / 64.6MB   5.38MB / 8.19kB   23
f2bd9e338095   testground-redis          0.40%     6.004MiB / 9.717GiB   0.06%     516B / 0B        0B / 0B           5
50518e6688c7   testground-sync-service   5.12%     13.22MiB / 9.717GiB   0.13%     426B / 0B        7.89MB / 0B       10
CONTAINER ID   NAME                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O         PIDS
50518e6688c7   testground-sync-service   0.00%     13.22MiB / 9.717GiB   0.13%     516B / 0B        7.89MB / 0B       10
f2bd9e338095   testground-redis          0.49%     6.004MiB / 9.717GiB   0.06%     516B / 0B        0B / 0B           5
da868b885667   testground-grafana        78.10%    114MiB / 9.717GiB     1.15%     806B / 0B        2.34MB / 60.3MB   13
2ea0829f1444   testground-goproxy        0.07%     47.46MiB / 9.717GiB   0.48%     644kB / 64.6MB   5.38MB / 8.19kB   23
f6f74597e89c   testground-influxdb       158.69%   9.77MiB / 9.717GiB    0.10%     266B / 0B        15MB / 4.1kB      16
               --                        0.00%     0B / 0B               0.00%     0B / 0B          0B / 0B           0
CONTAINER ID   NAME                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
51d8be0456df   testground-sidecar        0.00%     10.32MiB / 9.717GiB   0.10%     1.12kB / 638B     3.09MB / 0B       10
f6f74597e89c   testground-influxdb       191.44%   17.38MiB / 9.717GiB   0.17%     600B / 0B         15MB / 4.1kB      16
50518e6688c7   testground-sync-service   0.34%     13.38MiB / 9.717GiB   0.13%     1.85kB / 1.03kB   7.89MB / 0B       10
f2bd9e338095   testground-redis          0.52%     6.004MiB / 9.717GiB   0.06%     670B / 0B         0B / 0B           5
da868b885667   testground-grafana        102.83%   115MiB / 9.717GiB     1.16%     890B / 0B         2.34MB / 63MB     13
2ea0829f1444   testground-goproxy        0.10%     47.46MiB / 9.717GiB   0.48%     644kB / 64.6MB    5.38MB / 8.19kB   23
CONTAINER ID   NAME                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
51d8be0456df   testground-sidecar        0.00%     10.32MiB / 9.717GiB   0.10%     1.12kB / 638B     3.09MB / 0B       10
f6f74597e89c   testground-influxdb       270.90%   19.34MiB / 9.717GiB   0.19%     600B / 0B         15.4MB / 4.1kB    16
50518e6688c7   testground-sync-service   0.00%     13.38MiB / 9.717GiB   0.13%     1.85kB / 1.03kB   7.89MB / 0B       10
f2bd9e338095   testground-redis          0.68%     6.004MiB / 9.717GiB   0.06%     670B / 0B         0B / 0B           5
da868b885667   testground-grafana        85.69%    115.7MiB / 9.717GiB   1.16%     890B / 0B         2.34MB / 65.9MB   13
2ea0829f1444   testground-goproxy        0.06%     47.46MiB / 9.717GiB   0.48%     644kB / 64.6MB    5.38MB / 8.19kB   23
CONTAINER ID   NAME                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
51d8be0456df   testground-sidecar        0.01%     10.32MiB / 9.717GiB   0.10%     1.23kB / 680B     3.09MB / 0B       10
f6f74597e89c   testground-influxdb       184.45%   19.92MiB / 9.717GiB   0.20%     670B / 0B         15.8MB / 4.1kB    16
50518e6688c7   testground-sync-service   0.21%     13.38MiB / 9.717GiB   0.13%     1.93kB / 1.12kB   7.89MB / 0B       10
f2bd9e338095   testground-redis          0.38%     6.004MiB / 9.717GiB   0.06%     670B / 0B         0B / 0B           5
da868b885667   testground-grafana        98.97%    118.3MiB / 9.717GiB   1.19%     890B / 0B         2.34MB / 69.1MB   13
2ea0829f1444   testground-goproxy        0.01%     47.46MiB / 9.717GiB   0.48%     644kB / 64.6MB    5.38MB / 8.19kB   23
CONTAINER ID   NAME                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
51d8be0456df   testground-sidecar        0.00%     10.32MiB / 9.717GiB   0.10%     1.23kB / 680B     3.09MB / 0B       10
f6f74597e89c   testground-influxdb       189.89%   23.37MiB / 9.717GiB   0.23%     670B / 0B         15.9MB / 4.1kB    21
50518e6688c7   testground-sync-service   2.01%     13.64MiB / 9.717GiB   0.14%     2.13kB / 1.18kB   7.89MB / 0B       11
f2bd9e338095   testground-redis          0.45%     6.004MiB / 9.717GiB   0.06%     740B / 0B         0B / 0B           5
da868b885667   testground-grafana        91.37%    119.2MiB / 9.717GiB   1.20%     960B / 0B         2.34MB / 72.4MB   13
2ea0829f1444   testground-goproxy        0.04%     47.46MiB / 9.717GiB   0.48%     644kB / 64.6MB    5.38MB / 8.19kB   23
CONTAINER ID   NAME                                                            CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
406e4fe73d2a   tg-dht-find-providers-cfgisv7rirfnreujfge0-cypress-provider-1   32.94%    33.67MiB / 9.717GiB   0.34%     2.25kB / 1.33kB   0B / 0B           11
51d8be0456df   testground-sidecar                                              0.31%     10.78MiB / 9.717GiB   0.11%     1.63kB / 1.19kB   3.23MB / 0B       11
f6f74597e89c   testground-influxdb                                             89.67%    16.59MiB / 9.717GiB   0.17%     8.14kB / 1.74kB   16.5MB / 8.19kB   9
