CONTAINER ID   NAME                 CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O         PIDS
79911e09f1f4   jolly_curie          776.69%   326.4MiB / 9.717GiB   3.28%     586B / 0B        0B / 91.8MB       73
e44d3386f021   testground-goproxy   0.01%     47.21MiB / 9.717GiB   0.47%     560kB / 64.4MB   8.74MB / 8.19kB   23
CONTAINER ID   NAME                 CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O         PIDS
79911e09f1f4   jolly_curie          768.65%   399.9MiB / 9.717GiB   4.02%     656B / 0B        0B / 91.8MB       58
e44d3386f021   testground-goproxy   0.01%     47.21MiB / 9.717GiB   0.47%     560kB / 64.4MB   8.74MB / 8.19kB   23
CONTAINER ID   NAME                 CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O         PIDS
79911e09f1f4   jolly_curie          285.91%   249.9MiB / 9.717GiB   2.51%     656B / 0B        0B / 91.8MB       41
e44d3386f021   testground-goproxy   0.07%     47.21MiB / 9.717GiB   0.47%     560kB / 64.4MB   8.74MB / 8.19kB   23
CONTAINER ID   NAME                 CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O         PIDS
e44d3386f021   testground-goproxy   0.00%     47.21MiB / 9.717GiB   0.47%     560kB / 64.4MB   8.74MB / 8.19kB   23
CONTAINER ID   NAME                 CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O         PIDS
e44d3386f021   testground-goproxy   0.01%     47.21MiB / 9.717GiB   0.47%     560kB / 64.4MB   8.74MB / 8.19kB   23
               --                   0.00%     0B / 0B               0.00%     0B / 0B          0B / 0B           0
CONTAINER ID   NAME                 CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
83526800504e   beautiful_feistel    1.25%     11.05MiB / 9.717GiB   0.11%     4.76kB / 3.12kB   0B / 0B           13
e44d3386f021   testground-goproxy   116.36%   56.54MiB / 9.717GiB   0.57%     563kB / 64.4MB    8.74MB / 8.19kB   25
CONTAINER ID   NAME                 CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
83526800504e   beautiful_feistel    1.47%     11.23MiB / 9.717GiB   0.11%     10.9kB / 6.87kB   0B / 0B           13
e44d3386f021   testground-goproxy   115.42%   50.04MiB / 9.717GiB   0.50%     566kB / 64.4MB    8.74MB / 8.19kB   25
CONTAINER ID   NAME                 CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
83526800504e   beautiful_feistel    1.54%     11.38MiB / 9.717GiB   0.11%     16.6kB / 10.3kB   0B / 0B           13
e44d3386f021   testground-goproxy   113.17%   63.54MiB / 9.717GiB   0.64%     570kB / 64.4MB    8.74MB / 8.19kB   32
CONTAINER ID   NAME                 CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
83526800504e   beautiful_feistel    2.00%     11.02MiB / 9.717GiB   0.11%     22.9kB / 14.2kB   0B / 176kB        13
