CONTAINER ID   NAME                                                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
45a763b87bdb   testground-sidecar                                               0.04%     11.74MiB / 9.717GiB   0.12%     1.59kB / 1.19kB   1.47MB / 0B       10
fbaa72c7dc94   testground-influxdb                                              129.51%   9.645MiB / 9.717GiB   0.10%     828B / 96B        1.28MB / 4.1kB    15
71db9f750317   testground-sync-service                                          0.66%     9.98MiB / 9.717GiB    0.10%     2.13kB / 1.18kB   1.6MB / 0B        10
decf306f43a7   testground-redis                                                 0.19%     6.887MiB / 9.717GiB   0.07%     754B / 0B         1.74MB / 0B       5
f2fea1a0de64   testground-grafana                                               64.55%    115.6MiB / 9.717GiB   1.16%     1.04kB / 0B       2.17MB / 72.4MB   11
1a8e0d950045   testground-goproxy                                               0.01%     42.49MiB / 9.717GiB   0.43%     627kB / 64.6MB    2.37MB / 8.19kB   19
128b7a1263c9   tg-dht-find-providers-cf7in07rirfqvt71sc5g-cypress-provider-16   68.69%    34.38MiB / 9.717GiB   0.35%     2.17kB / 1.33kB   0B / 0B           10
CONTAINER ID   NAME                                                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
128b7a1263c9   tg-dht-find-providers-cf7in07rirfqvt71sc5g-cypress-provider-16   0.37%     34.51MiB / 9.717GiB   0.35%     2.68kB / 1.48kB   0B / 0B           10
45a763b87bdb   testground-sidecar                                               0.03%     11.74MiB / 9.717GiB   0.12%     1.63kB / 1.19kB   1.47MB / 0B       10
fbaa72c7dc94   testground-influxdb                                              53.93%    6.562MiB / 9.717GiB   0.07%     8.89kB / 1.91kB   1.31MB / 8.19kB   11
71db9f750317   testground-sync-service                                          0.23%     10.12MiB / 9.717GiB   0.10%     4kB / 2.49kB      1.6MB / 0B        10
decf306f43a7   testground-redis                                                 0.24%     6.887MiB / 9.717GiB   0.07%     866B / 0B         1.74MB / 0B       5
f2fea1a0de64   testground-grafana                                               68.32%    119.4MiB / 9.717GiB   1.20%     1.09kB / 0B       2.17MB / 73.7MB   11
1a8e0d950045   testground-goproxy                                               0.02%     42.49MiB / 9.717GiB   0.43%     627kB / 64.6MB    2.37MB / 8.19kB   19
               --                                                               0.00%     0B / 0B               0.00%     0B / 0B           0B / 0B           0
CONTAINER ID   NAME                                                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
128b7a1263c9   tg-dht-find-providers-cf7in07rirfqvt71sc5g-cypress-provider-16   1.20%     34.95MiB / 9.717GiB   0.35%     4.3kB / 1.86kB    0B / 0B           10
d6abeb2c6109   tg-dht-find-providers-cf7in07rirfqvt71sc5g-cypress-provider-11   18.00%    34.11MiB / 9.717GiB   0.34%     2.83kB / 1.48kB   0B / 0B           9
d94e7ef393dc   tg-dht-find-providers-cf7in07rirfqvt71sc5g-cypress-provider-0    4.50%     33.25MiB / 9.717GiB   0.33%     3.53kB / 1.55kB   0B / 0B           9
45a763b87bdb   testground-sidecar                                               12.47%    15.86MiB / 9.717GiB   0.16%     7.64kB / 9.11kB   1.47MB / 4.1kB    10
fbaa72c7dc94   testground-influxdb                                              19.08%    6.547MiB / 9.717GiB   0.07%     11.9kB / 3.87kB   1.31MB / 8.19kB   11
71db9f750317   testground-sync-service                                          2.54%     11.27MiB / 9.717GiB   0.11%     32.5kB / 23.5kB   1.6MB / 0B        12
decf306f43a7   testground-redis                                                 0.27%     6.891MiB / 9.717GiB   0.07%     1.66kB / 0B       1.74MB / 0B       5
f2fea1a0de64   testground-grafana                                               24.73%    129.5MiB / 9.717GiB   1.30%     1.97kB / 0B       2.17MB / 73.7MB   11
1a8e0d950045   testground-goproxy                                               0.01%     42.49MiB / 9.717GiB   0.43%     627kB / 64.6MB    2.37MB / 8.19kB   19
38784ec14d32   tg-dht-find-providers-cf7in07rirfqvt71sc5g-cypress-provider-8    23.72%    30.21MiB / 9.717GiB   0.30%     2.83kB / 1.48kB   0B / 0B           9
ae05fd761fa0   tg-dht-find-providers-cf7in07rirfqvt71sc5g-cypress-provider-20   24.89%    31.28MiB / 9.717GiB   0.31%     3.08kB / 1.48kB   0B / 0B           9
34cc0f71ce0a   tg-dht-find-providers-cf7in07rirfqvt71sc5g-cypress-provider-1    19.35%    26.5MiB / 9.717GiB    0.27%     2.91kB / 1.48kB   0B / 0B           9
29543ee80a9a   tg-dht-find-providers-cf7in07rirfqvt71sc5g-cypress-provider-2    21.89%    30.73MiB / 9.717GiB   0.31%     3.29kB / 1.48kB   0B / 0B           9
cf4ef5a68712   tg-dht-find-providers-cf7in07rirfqvt71sc5g-cypress-provider-10   13.41%    30.22MiB / 9.717GiB   0.30%     3.61kB / 1.59kB   0B / 0B           9
8fac9548bad4   tg-dht-find-providers-cf7in07rirfqvt71sc5g-cypress-provider-17   14.48%    30.65MiB / 9.717GiB   0.31%     3.5kB / 1.55kB    0B / 0B           9
aa68dfe8dc12   tg-dht-find-providers-cf7in07rirfqvt71sc5g-cypress-provider-12   19.80%    26.29MiB / 9.717GiB   0.26%     3.17kB / 1.48kB   0B / 0B           9
0569a855df8c   tg-dht-find-providers-cf7in07rirfqvt71sc5g-cypress-provider-18   15.32%    25.84MiB / 9.717GiB   0.26%     3.15kB / 1.48kB   0B / 0B           10
4e92b4263862   tg-dht-find-providers-cf7in07rirfqvt71sc5g-cypress-provider-9    12.67%    24.3MiB / 9.717GiB    0.24%     3.08kB / 1.48kB   0B / 0B           10
71126a40634f   tg-dht-find-providers-cf7in07rirfqvt71sc5g-cypress-provider-14   10.10%    26.48MiB / 9.717GiB   0.27%     3.16kB / 1.55kB   0B / 0B           9
bda96595e352   tg-dht-find-providers-cf7in07rirfqvt71sc5g-cypress-provider-13   11.65%    26.81MiB / 9.717GiB   0.27%     3.28kB / 1.55kB   0B / 0B           9
9557987b4d15   tg-dht-find-providers-cf7in07rirfqvt71sc5g-cypress-provider-44   14.28%    27.08MiB / 9.717GiB   0.27%     3.19kB / 1.55kB   0B / 0B           9
c102f501e815   tg-dht-find-providers-cf7in07rirfqvt71sc5g-cypress-provider-19   16.03%    25.29MiB / 9.717GiB   0.25%     3.14kB / 1.48kB   0B / 0B           11
3861e4124217   tg-dht-find-providers-cf7in07rirfqvt71sc5g-cypress-provider-35   13.08%    29.15MiB / 9.717GiB   0.29%     3.03kB / 1.48kB   0B / 0B           9
a68166d076c3   tg-dht-find-providers-cf7in07rirfqvt71sc5g-cypress-provider-36   13.74%    24.83MiB / 9.717GiB   0.25%     2.79kB / 1.48kB   0B / 0B           10
553695ea6048   tg-dht-find-providers-cf7in07rirfqvt71sc5g-cypress-provider-37   12.79%    18.03MiB / 9.717GiB   0.18%     2.75kB / 1.48kB   0B / 0B           9
f424a8914b65   tg-dht-find-providers-cf7in07rirfqvt71sc5g-cypress-provider-38   10.45%    16.32MiB / 9.717GiB   0.16%     2.27kB / 1.4kB    0B / 0B           9
9d9186b6fdf3   tg-dht-find-providers-cf7in07rirfqvt71sc5g-cypress-provider-39   12.13%    18.9MiB / 9.717GiB    0.19%     2.23kB / 1.4kB    0B / 0B           10
11eb5738f8e4   tg-dht-find-providers-cf7in07rirfqvt71sc5g-cypress-provider-40   15.84%    20.42MiB / 9.717GiB   0.21%     2.36kB / 1.4kB    0B / 0B           10
2aa1931ec2a4   tg-dht-find-providers-cf7in07rirfqvt71sc5g-cypress-provider-41   11.74%    22.29MiB / 9.717GiB   0.22%     3.19kB / 1.48kB   0B / 0B           9
99c6fca7f822   tg-dht-find-providers-cf7in07rirfqvt71sc5g-cypress-provider-15   12.97%    18.91MiB / 9.717GiB   0.19%     2.73kB / 1.4kB    0B / 0B           10
cb815efea7a3   tg-dht-find-providers-cf7in07rirfqvt71sc5g-cypress-provider-43   16.39%    26.8MiB / 9.717GiB    0.27%     3.08kB / 1.48kB   0B / 0B           9
b6e7562a38fe   tg-dht-find-providers-cf7in07rirfqvt71sc5g-cypress-provider-42   19.97%    26.12MiB / 9.717GiB   0.26%     2.78kB / 1.4kB    0B / 0B           9
