CONTAINER ID   NAME                                                            CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
8c5a42d8f87c   testground-influxdb                                             0.25%     119.1MiB / 9.717GiB   1.20%     45.3MB / 1.82MB   61.9MB / 147MB   23
a188c685fd65   testground-grafana                                              0.33%     191.9MiB / 9.717GiB   1.93%     63.9kB / 4.2kB    139MB / 73.7MB   19
662af322a411   testground-goproxy                                              0.00%     98.65MiB / 9.717GiB   0.99%     243kB / 365kB     66.4MB / 0B      15
406633212a58   testground-sidecar                                              12.33%    17.88MiB / 9.717GiB   0.18%     80.2kB / 41.4kB   36.4MB / 717kB   14
158e46d6cd16   testground-sync-service                                         23.95%    24.83MiB / 9.717GiB   0.25%     1.14MB / 2.53MB   41.9MB / 0B      20
dd71b4f98e94   testground-redis                                                0.27%     8.77MiB / 9.717GiB    0.09%     52kB / 0B         11.6MB / 0B      5
8f660e790c7f   tg-dht-find-providers-cf43n4vrirftjv7ca3d0-cypress-provider-8   47.54%    33.42MiB / 9.717GiB   0.34%     2.06kB / 1.74kB   0B / 0B          9
CONTAINER ID   NAME                                                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
8f660e790c7f   tg-dht-find-providers-cf43n4vrirftjv7ca3d0-cypress-provider-8    0.11%     33.55MiB / 9.717GiB   0.34%     3.23kB / 1.8kB    0B / 0B          9
8c5a42d8f87c   testground-influxdb                                              0.59%     119.1MiB / 9.717GiB   1.20%     45.3MB / 1.82MB   61.9MB / 148MB   23
a188c685fd65   testground-grafana                                               0.18%     191.9MiB / 9.717GiB   1.93%     64.3kB / 4.2kB    139MB / 73.7MB   19
662af322a411   testground-goproxy                                               0.01%     98.65MiB / 9.717GiB   0.99%     243kB / 365kB     66.4MB / 0B      15
406633212a58   testground-sidecar                                               8.77%     18.51MiB / 9.717GiB   0.19%     82.5kB / 44.4kB   36.4MB / 717kB   14
158e46d6cd16   testground-sync-service                                          23.36%    25.16MiB / 9.717GiB   0.25%     1.15MB / 2.54MB   41.9MB / 0B      20
dd71b4f98e94   testground-redis                                                 0.31%     8.645MiB / 9.717GiB   0.09%     52.5kB / 0B       11.6MB / 0B      5
15fc7453d570   tg-dht-find-providers-cf43n4vrirftjv7ca3d0-cypress-provider-4    30.51%    34.12MiB / 9.717GiB   0.34%     2.74kB / 1.8kB    0B / 0B          9
5733ea2ad9f7   tg-dht-find-providers-cf43n4vrirftjv7ca3d0-cypress-provider-10   2.84%     32.82MiB / 9.717GiB   0.33%     3.46kB / 1.8kB    0B / 0B          9
a070be5f8c41   tg-dht-find-providers-cf43n4vrirftjv7ca3d0-cypress-provider-7    6.11%     33.75MiB / 9.717GiB   0.34%     3.46kB / 1.8kB    0B / 0B          9
a19e591aadcf   tg-dht-find-providers-cf43n4vrirftjv7ca3d0-cypress-provider-15   10.73%    33.83MiB / 9.717GiB   0.34%     3.52kB / 1.87kB   0B / 0B          10
64e04fa38db0   tg-dht-find-providers-cf43n4vrirftjv7ca3d0-cypress-provider-11   20.60%    34.93MiB / 9.717GiB   0.35%     3.37kB / 1.8kB    0B / 0B          9
b12eea8ad18b   tg-dht-find-providers-cf43n4vrirftjv7ca3d0-cypress-provider-9    39.21%    32.61MiB / 9.717GiB   0.33%     2.82kB / 1.8kB    0B / 0B          9
966ce7b727d7   tg-dht-find-providers-cf43n4vrirftjv7ca3d0-cypress-provider-12   11.73%    34.1MiB / 9.717GiB    0.34%     3.5kB / 1.8kB     0B / 0B          9
7fb9b958a578   tg-dht-find-providers-cf43n4vrirftjv7ca3d0-cypress-provider-0    10.62%    27.52MiB / 9.717GiB   0.28%     3.37kB / 1.8kB    0B / 0B          9
4df8bae8fe6b   tg-dht-find-providers-cf43n4vrirftjv7ca3d0-cypress-provider-2    13.00%    23.61MiB / 9.717GiB   0.24%     3.38kB / 1.8kB    0B / 0B          9
4d294862f8a0   tg-dht-find-providers-cf43n4vrirftjv7ca3d0-cypress-provider-5    21.68%    28.81MiB / 9.717GiB   0.29%     3.38kB / 1.8kB    0B / 0B          9
e271128d499d   tg-dht-find-providers-cf43n4vrirftjv7ca3d0-cypress-provider-14   14.81%    24.29MiB / 9.717GiB   0.24%     3.38kB / 1.8kB    0B / 0B          10
4377522ba331   tg-dht-find-providers-cf43n4vrirftjv7ca3d0-cypress-provider-6    24.80%    34.6MiB / 9.717GiB    0.35%     3.33kB / 1.8kB    0B / 0B          9
a057d165bc78   tg-dht-find-providers-cf43n4vrirftjv7ca3d0-cypress-provider-3    17.51%    27.37MiB / 9.717GiB   0.28%     3.5kB / 1.8kB     0B / 0B          9
543d21eb71b2   tg-dht-find-providers-cf43n4vrirftjv7ca3d0-cypress-provider-1    11.04%    32.91MiB / 9.717GiB   0.33%     3.5kB / 1.8kB     0B / 0B          9
dd20679ac39d   tg-dht-find-providers-cf43n4vrirftjv7ca3d0-cypress-provider-13   5.99%     33.47MiB / 9.717GiB   0.34%     3.54kB / 1.8kB    0B / 0B          9
a00a2e39dd29   tg-dht-find-providers-cf43n4vrirftjv7ca3d0-cypress-provider-22   16.07%    34.54MiB / 9.717GiB   0.35%     3.29kB / 1.8kB    0B / 0B          9
5ce072ff68f0   tg-dht-find-providers-cf43n4vrirftjv7ca3d0-cypress-provider-16   16.20%    33.24MiB / 9.717GiB   0.33%     3.25kB / 1.8kB    0B / 0B          10
9aff13ac1ec7   tg-dht-find-providers-cf43n4vrirftjv7ca3d0-cypress-provider-17   15.33%    24.84MiB / 9.717GiB   0.25%     2.91kB / 1.8kB    0B / 0B          10
612c016c0b85   tg-dht-find-providers-cf43n4vrirftjv7ca3d0-cypress-provider-18   19.14%    26.17MiB / 9.717GiB   0.26%     2.79kB / 1.8kB    0B / 0B          10
0b820bb72708   tg-dht-find-providers-cf43n4vrirftjv7ca3d0-cypress-provider-19   16.26%    22.65MiB / 9.717GiB   0.23%     2.7kB / 1.8kB     0B / 0B          9
4cf8b19a2e56   tg-dht-find-providers-cf43n4vrirftjv7ca3d0-cypress-provider-20   20.86%    24.74MiB / 9.717GiB   0.25%     2.66kB / 1.8kB    0B / 0B          9
26a5c649d289   tg-dht-find-providers-cf43n4vrirftjv7ca3d0-cypress-provider-21   28.51%    23.87MiB / 9.717GiB   0.24%     2.58kB / 1.8kB    0B / 0B          9
b927b7999659   tg-dht-find-providers-cf43n4vrirftjv7ca3d0-cypress-provider-26   53.35%    27.35MiB / 9.717GiB   0.27%     2.35kB / 1.8kB    0B / 0B          9
fd4fd787a9ce   tg-dht-find-providers-cf43n4vrirftjv7ca3d0-cypress-provider-28   35.74%    32.68MiB / 9.717GiB   0.33%     2.62kB / 1.8kB    0B / 0B          9
e34b9debeb3f   tg-dht-find-providers-cf43n4vrirftjv7ca3d0-cypress-provider-25   39.69%    28.18MiB / 9.717GiB   0.28%     2.69kB / 1.87kB   0B / 0B          10
d21e5ce60867   tg-dht-find-providers-cf43n4vrirftjv7ca3d0-cypress-provider-24   35.39%    27.65MiB / 9.717GiB   0.28%     2.75kB / 1.8kB    0B / 0B          9
