1675385903
CONTAINER ID   NAME                 CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O         PIDS
6224762ac2e2   testground-goproxy   67.27%    45.39MiB / 9.717GiB   0.46%     618kB / 64.6MB   9.83MB / 8.19kB   21
1675385905
CONTAINER ID   NAME                 CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O         PIDS
6224762ac2e2   testground-goproxy   0.01%     45.39MiB / 9.717GiB   0.46%     618kB / 64.6MB   9.83MB / 8.19kB   21
1675385907
CONTAINER ID   NAME                 CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O         PIDS
6224762ac2e2   testground-goproxy   0.00%     45.39MiB / 9.717GiB   0.46%     618kB / 64.6MB   9.83MB / 8.19kB   21
053837fea7ff   testground-grafana   98.08%    32.58MiB / 9.717GiB   0.33%     486B / 0B        8.75MB / 54.9MB   8
               --                   0.00%     0B / 0B               0.00%     0B / 0B          0B / 0B           0
1675385910
CONTAINER ID   NAME                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O         PIDS
eb88d70e30cf   testground-redis          0.13%     6.453MiB / 9.717GiB   0.06%     516B / 0B        5.51MB / 0B       5
053837fea7ff   testground-grafana        117.32%   113.2MiB / 9.717GiB   1.14%     736B / 0B        9.71MB / 55.3MB   13
6224762ac2e2   testground-goproxy        0.00%     45.39MiB / 9.717GiB   0.46%     618kB / 64.6MB   9.83MB / 8.19kB   21
732cd99930bc   testground-sync-service   0.00%     9.543MiB / 9.717GiB   0.10%     266B / 0B        2.48MB / 0B       10
               --                        0.00%     0B / 0B               0.00%     0B / 0B          0B / 0B           0
1675385913
CONTAINER ID   NAME                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
eb98da8d035f   testground-influxdb       175.40%   9.883MiB / 9.717GiB   0.10%     510B / 0B         6.44MB / 4.1kB    16
732cd99930bc   testground-sync-service   1.16%     9.57MiB / 9.717GiB    0.10%     1.78kB / 1.03kB   2.48MB / 0B       10
eb88d70e30cf   testground-redis          0.47%     6.453MiB / 9.717GiB   0.06%     600B / 0B         5.51MB / 0B       5
053837fea7ff   testground-grafana        79.45%    116.9MiB / 9.717GiB   1.18%     820B / 0B         9.71MB / 60.7MB   13
6224762ac2e2   testground-goproxy        0.02%     45.39MiB / 9.717GiB   0.46%     618kB / 64.6MB    9.83MB / 8.19kB   21
bea80dd8005b   testground-sidecar        0.00%     10.16MiB / 9.717GiB   0.10%     866B / 638B       1.04MB / 0B       10
1675385916
CONTAINER ID   NAME                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
bea80dd8005b   testground-sidecar        0.00%     10.16MiB / 9.717GiB   0.10%     1.12kB / 638B     1.04MB / 0B       10
eb98da8d035f   testground-influxdb       269.78%   11.8MiB / 9.717GiB    0.12%     600B / 0B         6.86MB / 4.1kB    17
732cd99930bc   testground-sync-service   0.00%     9.57MiB / 9.717GiB    0.10%     1.85kB / 1.03kB   2.48MB / 0B       10
eb88d70e30cf   testground-redis          0.61%     6.453MiB / 9.717GiB   0.06%     670B / 0B         5.51MB / 0B       5
053837fea7ff   testground-grafana        86.38%    117.4MiB / 9.717GiB   1.18%     890B / 0B         9.71MB / 66.8MB   13
6224762ac2e2   testground-goproxy        0.02%     45.39MiB / 9.717GiB   0.46%     618kB / 64.6MB    9.83MB / 8.19kB   21
1675385918
CONTAINER ID   NAME                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
bea80dd8005b   testground-sidecar        0.54%     10.16MiB / 9.717GiB   0.10%     1.23kB / 680B     1.04MB / 0B       10
eb98da8d035f   testground-influxdb       193.42%   12.21MiB / 9.717GiB   0.12%     670B / 0B         7.18MB / 4.1kB    17
