CONTAINER ID   NAME                                                            CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
eb4535f09af6   testground-sidecar                                              7.20%     11.05MiB / 9.717GiB   0.11%     1.55kB / 1.19kB   2.27MB / 0B       9
2a1db85c5faf   testground-influxdb                                             103.62%   11.48MiB / 9.717GiB   0.12%     828B / 96B        5.1MB / 4.1kB     15
75e8c8ba641d   testground-sync-service                                         0.62%     13.1MiB / 9.717GiB    0.13%     3.96kB / 2.49kB   6.38MB / 0B       10
39c8b9addef3   testground-redis                                                0.32%     6.848MiB / 9.717GiB   0.07%     754B / 0B         2.5MB / 0B        5
5f7283c2caf9   testground-grafana                                              55.83%    119.1MiB / 9.717GiB   1.20%     974B / 0B         17.6MB / 72.1MB   11
b3f872fbcdfa   testground-goproxy                                              0.00%     45.12MiB / 9.717GiB   0.45%     625kB / 64.5MB    11.4MB / 8.19kB   19
782906d1d8bb   tg-dht-find-providers-cf4v247rirfo70jqico0-cypress-provider-1   39.69%    34.48MiB / 9.717GiB   0.35%     2.35kB / 1.33kB   0B / 0B           9
CONTAINER ID   NAME                                                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
782906d1d8bb   tg-dht-find-providers-cf4v247rirfo70jqico0-cypress-provider-1    0.14%     34.57MiB / 9.717GiB   0.35%     2.77kB / 1.48kB   0B / 0B           9
eb4535f09af6   testground-sidecar                                               2.70%     11.61MiB / 9.717GiB   0.12%     2.92kB / 3.21kB   2.27MB / 0B       9
2a1db85c5faf   testground-influxdb                                              35.09%    10.97MiB / 9.717GiB   0.11%     1.23kB / 406B     5.38MB / 4.1kB    16
75e8c8ba641d   testground-sync-service                                          1.36%     13.21MiB / 9.717GiB   0.13%     11.2kB / 7.48kB   6.38MB / 0B       10
39c8b9addef3   testground-redis                                                 0.20%     6.848MiB / 9.717GiB   0.07%     880B / 0B         2.5MB / 0B        5
5f7283c2caf9   testground-grafana                                               56.64%    122.1MiB / 9.717GiB   1.23%     1.17kB / 0B       17.6MB / 73.7MB   11
b3f872fbcdfa   testground-goproxy                                               0.01%     45.12MiB / 9.717GiB   0.45%     625kB / 64.5MB    11.4MB / 8.19kB   19
252c8de7d30b   tg-dht-find-providers-cf4v247rirfo70jqico0-cypress-provider-39   22.22%    32.88MiB / 9.717GiB   0.33%     2.56kB / 1.4kB    0B / 0B           11
3f1341ecab49   tg-dht-find-providers-cf4v247rirfo70jqico0-cypress-provider-41   30.94%    33.45MiB / 9.717GiB   0.34%     2.52kB / 1.4kB    0B / 0B           9
