CONTAINER ID   NAME                                                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
d974f1f381bb   tg-dht-find-providers-cf5c3ufrirfunouf78rg-cypress-provider-0    0.05%     33.9MiB / 9.717GiB    0.34%     3.06kB / 1.8kB    0B / 0B          9
1557e35fcd8c   testground-sidecar                                               7.35%     17.16MiB / 9.717GiB   0.17%     65.3kB / 42.5kB   709kB / 913kB    11
6ea13997b3eb   testground-influxdb                                              1.04%     28.1MiB / 9.717GiB    0.28%     11.1MB / 604kB    672kB / 23.2MB   26
6c713b74c6e1   testground-sync-service                                          28.26%    15.34MiB / 9.717GiB   0.15%     868kB / 2.31MB    53.2kB / 0B      22
47876a8c2d5c   testground-redis                                                 0.22%     5.961MiB / 9.717GiB   0.06%     37kB / 0B         0B / 0B          5
d5f125a87c03   testground-grafana                                               28.14%    176.6MiB / 9.717GiB   1.77%     62.1kB / 8.22kB   721kB / 74.1MB   19
388c8e6faf58   testground-goproxy                                               0.02%     47.12MiB / 9.717GiB   0.47%     1.17MB / 129MB    201kB / 16.4kB   21
48e0bf418bc3   tg-dht-find-providers-cf5c3ufrirfunouf78rg-cypress-provider-4    0.09%     34.46MiB / 9.717GiB   0.35%     2.92kB / 1.8kB    0B / 0B          10
1694a505141d   tg-dht-find-providers-cf5c3ufrirfunouf78rg-cypress-provider-7    26.51%    35MiB / 9.717GiB      0.35%     2.57kB / 1.8kB    0B / 0B          9
7f07ad8fd2d0   tg-dht-find-providers-cf5c3ufrirfunouf78rg-cypress-provider-5    42.51%    32.64MiB / 9.717GiB   0.33%     2.57kB / 1.8kB    0B / 0B          10
b08a81acd919   tg-dht-find-providers-cf5c3ufrirfunouf78rg-cypress-provider-2    30.70%    32.28MiB / 9.717GiB   0.32%     2.87kB / 1.8kB    0B / 0B          9
8e599430f7c7   tg-dht-find-providers-cf5c3ufrirfunouf78rg-cypress-provider-10   26.85%    27.82MiB / 9.717GiB   0.28%     2.79kB / 1.8kB    0B / 0B          9
49621bd73e9e   tg-dht-find-providers-cf5c3ufrirfunouf78rg-cypress-provider-6    35.86%    26.03MiB / 9.717GiB   0.26%     2.56kB / 1.8kB    0B / 0B          10
6e5e3807a811   tg-dht-find-providers-cf5c3ufrirfunouf78rg-cypress-provider-8    32.16%    28.89MiB / 9.717GiB   0.29%     2.79kB / 1.8kB    0B / 0B          10
36049a0d39f8   tg-dht-find-providers-cf5c3ufrirfunouf78rg-cypress-provider-3    26.93%    26.39MiB / 9.717GiB   0.27%     2.74kB / 1.8kB    0B / 0B          9
57a6de05c954   tg-dht-find-providers-cf5c3ufrirfunouf78rg-cypress-provider-1    16.79%    32.47MiB / 9.717GiB   0.33%     3kB / 1.8kB       0B / 0B          9
e6b25d740e07   tg-dht-find-providers-cf5c3ufrirfunouf78rg-cypress-provider-29   26.28%    24.5MiB / 9.717GiB    0.25%     2.96kB / 1.8kB    0B / 0B          9
c39784447f12   tg-dht-find-providers-cf5c3ufrirfunouf78rg-cypress-provider-13   25.55%    20.04MiB / 9.717GiB   0.20%     2.83kB / 1.8kB    0B / 0B          9
daf09c2f6b2e   tg-dht-find-providers-cf5c3ufrirfunouf78rg-cypress-provider-14   18.01%    27.03MiB / 9.717GiB   0.27%     3.38kB / 1.8kB    0B / 0B          9
e2837427a840   tg-dht-find-providers-cf5c3ufrirfunouf78rg-cypress-provider-12   14.23%    26.49MiB / 9.717GiB   0.27%     3.38kB / 1.8kB    0B / 0B          9
5fe7c08dab2d   tg-dht-find-providers-cf5c3ufrirfunouf78rg-cypress-provider-9    17.65%    26.08MiB / 9.717GiB   0.26%     3.21kB / 1.8kB    0B / 0B          9
65ceeda7442d   tg-dht-find-providers-cf5c3ufrirfunouf78rg-cypress-provider-15   19.80%    27.95MiB / 9.717GiB   0.28%     3.38kB / 1.8kB    0B / 0B          10
