CONTAINER ID   NAME                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
3b9ab2a5eea5   testground-sidecar        27.58%    24.74MiB / 9.717GiB   0.25%     4.37MB / 179kB    3.11MB / 6.14MB   15
2c32210d05e0   testground-influxdb       2.30%     184.8MiB / 9.717GiB   1.86%     276MB / 10.8MB    6.06MB / 155MB    22
eb68d6aafc4a   testground-sync-service   11.43%    16.16MiB / 9.717GiB   0.16%     9.41MB / 11MB     983kB / 0B        22
f016ec7f9be2   testground-redis          0.39%     8.406MiB / 9.717GiB   0.08%     4.24MB / 0B       3.29MB / 0B       5
3941732545a6   testground-grafana        0.08%     175.6MiB / 9.717GiB   1.77%     4.32MB / 24.9kB   803kB / 74.3MB    16
174b6882ded9   testground-goproxy        0.02%     49.75MiB / 9.717GiB   0.50%     2.55MB / 258MB    12.4MB / 918kB    20
               --                        0.00%     0B / 0B               0.00%     0B / 0B           0B / 0B           0
CONTAINER ID   NAME                                                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
73b4887b9b00   tg-dht-find-providers-cf45etvrirfg9183js80-cypress-provider-13   0.91%     34.8MiB / 9.717GiB    0.35%     2.93kB / 1.8kB    340kB / 0B        9
3b9ab2a5eea5   testground-sidecar                                               17.74%    25.03MiB / 9.717GiB   0.25%     4.37MB / 180kB    3.33MB / 6.14MB   15
2c32210d05e0   testground-influxdb                                              4.31%     184.8MiB / 9.717GiB   1.86%     276MB / 10.8MB    6.06MB / 155MB    22
eb68d6aafc4a   testground-sync-service                                          21.18%    16.18MiB / 9.717GiB   0.16%     9.42MB / 11MB     983kB / 0B        22
f016ec7f9be2   testground-redis                                                 0.32%     8.406MiB / 9.717GiB   0.08%     4.24MB / 0B       3.29MB / 0B       5
3941732545a6   testground-grafana                                               0.96%     175.6MiB / 9.717GiB   1.77%     4.32MB / 24.9kB   803kB / 74.3MB    16
174b6882ded9   testground-goproxy                                               0.03%     49.75MiB / 9.717GiB   0.50%     2.55MB / 258MB    12.4MB / 918kB    20
2aadaed2af9e   tg-dht-find-providers-cf45etvrirfg9183js80-cypress-provider-14   17.85%    33.69MiB / 9.717GiB   0.34%     2.77kB / 1.8kB    0B / 0B           9
acc685174bcb   tg-dht-find-providers-cf45etvrirfg9183js80-cypress-provider-24   29.52%    33.03MiB / 9.717GiB   0.33%     2.66kB / 1.8kB    0B / 0B           9
fda0a590d156   tg-dht-find-providers-cf45etvrirfg9183js80-cypress-provider-26   37.24%    27.57MiB / 9.717GiB   0.28%     2.44kB / 1.8kB    0B / 0B           9
1e37f5fbc548   tg-dht-find-providers-cf45etvrirfg9183js80-cypress-provider-0    28.24%    33.09MiB / 9.717GiB   0.33%     2.65kB / 1.8kB    0B / 0B           9
c6bc05b8e56a   tg-dht-find-providers-cf45etvrirfg9183js80-cypress-provider-25   31.77%    33.2MiB / 9.717GiB    0.33%     2.57kB / 1.8kB    0B / 0B           9
cdd70838d080   tg-dht-find-providers-cf45etvrirfg9183js80-cypress-provider-22   12.00%    33.4MiB / 9.717GiB    0.34%     3.16kB / 1.8kB    0B / 0B           10
b9c87642934b   tg-dht-find-providers-cf45etvrirfg9183js80-cypress-provider-23   6.51%     33.71MiB / 9.717GiB   0.34%     2.95kB / 1.8kB    0B / 0B           10
6df0a3b2ecb2   tg-dht-find-providers-cf45etvrirfg9183js80-cypress-provider-16   16.65%    33.68MiB / 9.717GiB   0.34%     3.16kB / 1.8kB    0B / 0B           9
2f03816b290a   tg-dht-find-providers-cf45etvrirfg9183js80-cypress-provider-18   16.72%    25.02MiB / 9.717GiB   0.25%     3.46kB / 1.8kB    0B / 0B           9
671e7e9b0bfc   tg-dht-find-providers-cf45etvrirfg9183js80-cypress-provider-19   19.63%    28.41MiB / 9.717GiB   0.29%     3.42kB / 1.8kB    0B / 0B           10
49808c244d6b   tg-dht-find-providers-cf45etvrirfg9183js80-cypress-provider-27   25.04%    26.6MiB / 9.717GiB    0.27%     3.42kB / 1.8kB    0B / 0B           9
3d14d069a4c1   tg-dht-find-providers-cf45etvrirfg9183js80-cypress-provider-15   32.00%    29.99MiB / 9.717GiB   0.30%     3.33kB / 1.8kB    0B / 0B           10
88d9a1dbdc1f   tg-dht-find-providers-cf45etvrirfg9183js80-cypress-provider-20   12.11%    21.68MiB / 9.717GiB   0.22%     3.42kB / 1.8kB    0B / 0B           9
2a4f4f4feac0   tg-dht-find-providers-cf45etvrirfg9183js80-cypress-provider-21   13.69%    15.46MiB / 9.717GiB   0.16%     3.24kB / 1.8kB    0B / 0B           9
e6d96c8efd6f   tg-dht-find-providers-cf45etvrirfg9183js80-cypress-provider-39   13.10%    32.86MiB / 9.717GiB   0.33%     3.38kB / 1.8kB    0B / 0B           9
dcf5e66c756b   tg-dht-find-providers-cf45etvrirfg9183js80-cypress-provider-17   15.17%    28.54MiB / 9.717GiB   0.29%     3.38kB / 1.8kB    0B / 0B           10
5f0e4d2c3157   tg-dht-find-providers-cf45etvrirfg9183js80-cypress-provider-30   18.32%    25.46MiB / 9.717GiB   0.26%     3.21kB / 1.8kB    0B / 0B           10
883e1d8b731c   tg-dht-find-providers-cf45etvrirfg9183js80-cypress-provider-29   14.99%    24.42MiB / 9.717GiB   0.25%     3.25kB / 1.8kB    0B / 0B           9
27eefd998462   tg-dht-find-providers-cf45etvrirfg9183js80-cypress-provider-28   14.97%    27.14MiB / 9.717GiB   0.27%     3.21kB / 1.8kB    0B / 0B           9
984244911c5c   tg-dht-find-providers-cf45etvrirfg9183js80-cypress-provider-31   17.82%    22.38MiB / 9.717GiB   0.22%     3.04kB / 1.8kB    0B / 0B           10
159047ca809a   tg-dht-find-providers-cf45etvrirfg9183js80-cypress-provider-32   25.59%    27.99MiB / 9.717GiB   0.28%     2.79kB / 1.8kB    0B / 0B           9
42296d19d5e5   tg-dht-find-providers-cf45etvrirfg9183js80-cypress-provider-33   17.71%    26.2MiB / 9.717GiB    0.26%     3.04kB / 1.8kB    0B / 0B           9
dd5013ed29a5   tg-dht-find-providers-cf45etvrirfg9183js80-cypress-provider-34   23.71%    26.73MiB / 9.717GiB   0.27%     3kB / 1.8kB       0B / 0B           10
ad4b90336507   tg-dht-find-providers-cf45etvrirfg9183js80-cypress-provider-35   20.36%    24.94MiB / 9.717GiB   0.25%     3kB / 1.8kB       0B / 0B           10
caf16a4f54cf   tg-dht-find-providers-cf45etvrirfg9183js80-cypress-provider-36   17.95%    31.02MiB / 9.717GiB   0.31%     3.38kB / 1.8kB    0B / 0B           10
5edc19745c30   tg-dht-find-providers-cf45etvrirfg9183js80-cypress-provider-38   24.51%    25.8MiB / 9.717GiB    0.26%     3.21kB / 1.8kB    0B / 0B           10
ac80ad3c2d09   tg-dht-find-providers-cf45etvrirfg9183js80-cypress-provider-45   19.54%    25.02MiB / 9.717GiB   0.25%     3.25kB / 1.8kB    0B / 0B           9
3d3fe9fb75ca   tg-dht-find-providers-cf45etvrirfg9183js80-cypress-provider-43   23.47%    24.27MiB / 9.717GiB   0.24%     3.25kB / 1.8kB    0B / 0B           9
73f66dc6eafb   tg-dht-find-providers-cf45etvrirfg9183js80-cypress-provider-37   18.03%    24.01MiB / 9.717GiB   0.24%     3.29kB / 1.8kB    0B / 0B           9
e7fd249a71d6   tg-dht-find-providers-cf45etvrirfg9183js80-cypress-provider-42   23.43%    33.86MiB / 9.717GiB   0.34%     3.33kB / 1.8kB    0B / 0B           9
797afc14b65d   tg-dht-find-providers-cf45etvrirfg9183js80-cypress-provider-44   10.18%    24.88MiB / 9.717GiB   0.25%     3.33kB / 1.8kB    0B / 0B           10
b45b8da6a872   tg-dht-find-providers-cf45etvrirfg9183js80-cypress-provider-40   17.49%    27.11MiB / 9.717GiB   0.27%     3.25kB / 1.8kB    0B / 0B           10
b7365cb4cf32   tg-dht-find-providers-cf45etvrirfg9183js80-cypress-provider-1    14.85%    18.22MiB / 9.717GiB   0.18%     3.08kB / 1.8kB    0B / 0B           9
a3fda1388d15   tg-dht-find-providers-cf45etvrirfg9183js80-cypress-provider-41   10.93%    16.27MiB / 9.717GiB   0.16%     3.21kB / 1.8kB    0B / 0B           9
fcef1479609b   tg-dht-find-providers-cf45etvrirfg9183js80-cypress-provider-6    15.99%    15.63MiB / 9.717GiB   0.16%     2.79kB / 1.8kB    0B / 0B           9
1ac0962432f5   tg-dht-find-providers-cf45etvrirfg9183js80-cypress-provider-2    22.72%    16.47MiB / 9.717GiB   0.17%     2.75kB / 1.8kB    0B / 0B           9
