CONTAINER ID   NAME                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
3b9ab2a5eea5   testground-sidecar        0.00%     10.2MiB / 9.717GiB    0.10%     19.9kB / 18.8kB   7.33MB / 0B      9
2c32210d05e0   testground-influxdb       2.41%     183.7MiB / 9.717GiB   1.85%     338MB / 12.8MB    6.06MB / 167MB   22
eb68d6aafc4a   testground-sync-service   12.30%    14.32MiB / 9.717GiB   0.14%     11.1MB / 13.5MB   991kB / 0B       24
f016ec7f9be2   testground-redis          0.26%     8.41MiB / 9.717GiB    0.08%     4.9MB / 0B        4.22MB / 0B      5
3941732545a6   testground-grafana        1.61%     176.2MiB / 9.717GiB   1.77%     5.1MB / 66.2kB    872kB / 74.4MB   16
174b6882ded9   testground-goproxy        0.01%     50.53MiB / 9.717GiB   0.51%     2.62MB / 258MB    13.3MB / 918kB   20
CONTAINER ID   NAME                                                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
976bed7142ff   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-17   35.13%    34.72MiB / 9.717GiB   0.35%     2.48kB / 1.8kB    340kB / 0B       9
3b9ab2a5eea5   testground-sidecar                                               0.17%     10.55MiB / 9.717GiB   0.11%     20.2kB / 19.3kB   7.33MB / 0B      10
2c32210d05e0   testground-influxdb                                              1.89%     183.7MiB / 9.717GiB   1.85%     338MB / 12.8MB    6.06MB / 167MB   22
eb68d6aafc4a   testground-sync-service                                          7.72%     14.33MiB / 9.717GiB   0.14%     11.1MB / 13.5MB   991kB / 0B       24
f016ec7f9be2   testground-redis                                                 0.19%     8.41MiB / 9.717GiB    0.08%     4.9MB / 0B        4.22MB / 0B      5
3941732545a6   testground-grafana                                               0.19%     176.2MiB / 9.717GiB   1.77%     5.1MB / 66.2kB    872kB / 74.4MB   16
174b6882ded9   testground-goproxy                                               0.00%     50.53MiB / 9.717GiB   0.51%     2.62MB / 258MB    13.3MB / 918kB   20
CONTAINER ID   NAME                                                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
976bed7142ff   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-17   0.06%     34.72MiB / 9.717GiB   0.35%     3.1kB / 1.8kB     340kB / 0B       9
3b9ab2a5eea5   testground-sidecar                                               7.18%     11.56MiB / 9.717GiB   0.12%     21.6kB / 21.2kB   7.33MB / 0B      10
2c32210d05e0   testground-influxdb                                              1.26%     183.7MiB / 9.717GiB   1.85%     338MB / 12.8MB    6.06MB / 167MB   22
eb68d6aafc4a   testground-sync-service                                          9.76%     14.5MiB / 9.717GiB    0.15%     11.2MB / 13.6MB   991kB / 0B       24
f016ec7f9be2   testground-redis                                                 0.21%     8.535MiB / 9.717GiB   0.09%     4.9MB / 0B        4.22MB / 0B      5
3941732545a6   testground-grafana                                               0.33%     176.2MiB / 9.717GiB   1.77%     5.1MB / 66.2kB    872kB / 74.4MB   16
174b6882ded9   testground-goproxy                                               0.06%     50.53MiB / 9.717GiB   0.51%     2.62MB / 258MB    13.3MB / 918kB   20
3aa09b8077b5   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-9    0.05%     33.26MiB / 9.717GiB   0.33%     2.79kB / 1.8kB    0B / 0B          10
29927ccd963c   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-4    22.20%    32.93MiB / 9.717GiB   0.33%     2.83kB / 1.8kB    0B / 0B          9
ccd751b17126   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-5    0.08%     32.77MiB / 9.717GiB   0.33%     3.42kB / 1.8kB    0B / 0B          9
1e6d0aa48e25   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-2    0.05%     33.18MiB / 9.717GiB   0.33%     3.46kB / 1.8kB    0B / 0B          10
642364b7ceee   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-0    0.07%     33.53MiB / 9.717GiB   0.34%     3kB / 1.8kB       0B / 0B          9
d05607622202   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-8    25.82%    32.63MiB / 9.717GiB   0.33%     3.16kB / 1.8kB    0B / 0B          9
fe488bd150f8   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-11   17.94%    30.01MiB / 9.717GiB   0.30%     3.46kB / 1.8kB    0B / 0B          9
d8f7cd112bd9   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-14   18.68%    28.67MiB / 9.717GiB   0.29%     3.46kB / 1.8kB    0B / 0B          10
697c1e763342   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-15   14.72%    26.82MiB / 9.717GiB   0.27%     3.5kB / 1.8kB     0B / 0B          9
f49dece55017   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-1    19.06%    25.13MiB / 9.717GiB   0.25%     3.38kB / 1.8kB    0B / 0B          9
cbc06c9d381b   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-49   13.76%    26.14MiB / 9.717GiB   0.26%     3.42kB / 1.8kB    0B / 0B          10
e1cdf5a15dc0   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-7    18.53%    20.19MiB / 9.717GiB   0.20%     3.38kB / 1.8kB    0B / 0B          9
d8f3cc5c83b9   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-12   12.90%    17.9MiB / 9.717GiB    0.18%     3.42kB / 1.8kB    0B / 0B          9
a77751503d8d   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-10   15.46%    18.86MiB / 9.717GiB   0.19%     3.42kB / 1.8kB    0B / 0B          10
434fd57ffed6   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-3    26.27%    24.38MiB / 9.717GiB   0.25%     3.29kB / 1.8kB    0B / 0B          9
42733ed16a97   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-6    21.65%    28.36MiB / 9.717GiB   0.28%     3.54kB / 1.8kB    0B / 0B          10
edeb3e181644   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-16   16.65%    25.52MiB / 9.717GiB   0.26%     3.29kB / 1.8kB    0B / 0B          10
2f542857fe01   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-18   14.13%    21.67MiB / 9.717GiB   0.22%     3.25kB / 1.8kB    0B / 0B          9
3e3c2653b357   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-19   9.76%     21.96MiB / 9.717GiB   0.22%     2.96kB / 1.8kB    0B / 0B          9
1a0fb1c906a8   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-20   21.97%    27.4MiB / 9.717GiB    0.28%     2.62kB / 1.8kB    0B / 0B          9
2873a9eec7aa   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-21   23.11%    25.94MiB / 9.717GiB   0.26%     2.79kB / 1.8kB    0B / 0B          9
510f993aab54   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-22   10.50%    14.16MiB / 9.717GiB   0.14%     2.7kB / 1.8kB     0B / 0B          9
5f2e41ce1935   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-23   28.65%    29.54MiB / 9.717GiB   0.30%     3.08kB / 1.8kB    0B / 0B          9
20b4f3da364f   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-24   17.33%    25.06MiB / 9.717GiB   0.25%     3.04kB / 1.8kB    0B / 0B          9
2725c7ae28ad   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-25   24.01%    27.29MiB / 9.717GiB   0.27%     3.04kB / 1.8kB    0B / 0B          10
eeba1070720b   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-28   22.72%    22.64MiB / 9.717GiB   0.23%     2.96kB / 1.8kB    0B / 0B          9
54edbceafa10   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-26   15.68%    25MiB / 9.717GiB      0.25%     3.21kB / 1.8kB    0B / 0B          9
a2e5655026dc   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-27   16.35%    23.79MiB / 9.717GiB   0.24%     3.12kB / 1.8kB    0B / 0B          9
360c32d5a9d6   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-29   18.37%    22.52MiB / 9.717GiB   0.23%     2.96kB / 1.8kB    0B / 0B          10
8603dfcc7726   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-31   27.83%    25.72MiB / 9.717GiB   0.26%     2.96kB / 1.8kB    0B / 0B          9
15be4398207d   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-32   15.34%    20.33MiB / 9.717GiB   0.20%     3.17kB / 1.8kB    0B / 0B          9
6b56123bacf3   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-34   13.06%    17.75MiB / 9.717GiB   0.18%     3.08kB / 1.8kB    0B / 0B          9
794b76d902cd   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-33   21.32%    19.42MiB / 9.717GiB   0.20%     2.91kB / 1.8kB    0B / 0B          9
553cb3ec27bb   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-30   18.93%    21.08MiB / 9.717GiB   0.21%     3.08kB / 1.8kB    0B / 0B          9
1b7dab5d8d60   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-35   19.24%    24.05MiB / 9.717GiB   0.24%     3.21kB / 1.8kB    0B / 0B          9
cef6148241d7   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-36   16.70%    18.24MiB / 9.717GiB   0.18%     3.12kB / 1.8kB    0B / 0B          10
8157084e7623   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-37   14.54%    17.92MiB / 9.717GiB   0.18%     3.04kB / 1.8kB    0B / 0B          9
c171ac1e5e6a   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-38   16.97%    15.66MiB / 9.717GiB   0.16%     2.91kB / 1.8kB    0B / 0B          9
db0ff44a2572   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-40   10.64%    14.27MiB / 9.717GiB   0.14%     2.83kB / 1.8kB    0B / 0B          9
b7e7d0b32a89   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-39   13.06%    12.78MiB / 9.717GiB   0.13%     2.87kB / 1.8kB    0B / 0B          10
a23d1ae59104   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-41   12.39%    12.38MiB / 9.717GiB   0.12%     2.79kB / 1.8kB    0B / 0B          10
12de734bbeed   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-42   14.94%    15.31MiB / 9.717GiB   0.15%     2.75kB / 1.8kB    0B / 0B          8
70ba7d70d864   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-43   19.82%    18.14MiB / 9.717GiB   0.18%     2.91kB / 1.8kB    0B / 0B          9
decca74e8674   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-44   28.22%    20.02MiB / 9.717GiB   0.20%     2.79kB / 1.8kB    0B / 0B          9
7371b69ac4b7   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-48   19.95%    16.46MiB / 9.717GiB   0.17%     3.04kB / 2.15kB   0B / 0B          9
f87d4c50553b   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-47   12.96%    14.86MiB / 9.717GiB   0.15%     3.46kB / 2.67kB   0B / 0B          9
fbe0341b32ae   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-46   19.49%    16.95MiB / 9.717GiB   0.17%     3.62kB / 3.27kB   0B / 0B          9
4d918a961647   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-13   18.57%    16.49MiB / 9.717GiB   0.17%     3.26kB / 3.33kB   0B / 0B          10
a46fd9441816   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-45   15.92%    13.68MiB / 9.717GiB   0.14%     2.9kB / 2.15kB    0B / 0B          8
CONTAINER ID   NAME                                                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
cbc06c9d381b   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-49   8.26%     36.83MiB / 9.717GiB   0.37%     85.1kB / 97.6kB   0B / 0B          10
7371b69ac4b7   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-48   7.62%     37.02MiB / 9.717GiB   0.37%     72kB / 44.7kB     0B / 0B          11
f87d4c50553b   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-47   4.72%     35.73MiB / 9.717GiB   0.36%     67.2kB / 42.6kB   0B / 0B          10
fbe0341b32ae   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-46   4.40%     37.46MiB / 9.717GiB   0.38%     64.8kB / 37.4kB   0B / 0B          9
a46fd9441816   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-45   13.02%    36.92MiB / 9.717GiB   0.37%     64.7kB / 41kB     0B / 0B          9
decca74e8674   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-44   3.73%     36.47MiB / 9.717GiB   0.37%     59.3kB / 35.4kB   0B / 0B          9
70ba7d70d864   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-43   3.70%     36.87MiB / 9.717GiB   0.37%     66kB / 39.3kB     0B / 0B          9
12de734bbeed   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-42   3.07%     36.69MiB / 9.717GiB   0.37%     62.9kB / 41kB     0B / 0B          10
a23d1ae59104   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-41   5.12%     35.85MiB / 9.717GiB   0.36%     72.9kB / 46.3kB   0B / 0B          10
db0ff44a2572   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-40   4.59%     36.56MiB / 9.717GiB   0.37%     78kB / 56.5kB     0B / 0B          9
b7e7d0b32a89   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-39   12.65%    35.82MiB / 9.717GiB   0.36%     27.5kB / 18.6kB   0B / 0B          10
c171ac1e5e6a   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-38   5.11%     36.21MiB / 9.717GiB   0.36%     60.4kB / 45.8kB   0B / 0B          11
8157084e7623   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-37   3.47%     34.2MiB / 9.717GiB    0.34%     7.91kB / 17.8kB   0B / 0B          9
cef6148241d7   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-36   5.45%     35.95MiB / 9.717GiB   0.36%     80.7kB / 64.9kB   0B / 0B          10
1b7dab5d8d60   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-35   4.80%     34.99MiB / 9.717GiB   0.35%     52.8kB / 37.9kB   0B / 0B          10
6b56123bacf3   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-34   4.60%     34.78MiB / 9.717GiB   0.35%     33kB / 30.9kB     0B / 0B          9
794b76d902cd   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-33   4.34%     35.35MiB / 9.717GiB   0.36%     67.7kB / 52.3kB   0B / 0B          9
15be4398207d   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-32   0.57%     34.31MiB / 9.717GiB   0.34%     8.6kB / 29.9kB    0B / 0B          9
8603dfcc7726   tg-dht-find-providers-cf46rknrirfhmrugaf60-cypress-provider-31   5.64%     36.21MiB / 9.717GiB   0.36%     77.1kB / 68.1kB   0B / 0B          9
