CONTAINER ID   NAME                                                            CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
2e32461c875e   testground-sidecar                                              20.03%    28.96MiB / 9.717GiB   0.29%     3.06MB / 163kB    13.2MB / 4.62MB   17
e9556fdf3040   testground-influxdb                                             3.03%     134MiB / 9.717GiB     1.35%     292MB / 9.96MB    18.9MB / 62.5MB   24
a168d8727082   testground-sync-service                                         40.43%    23.54MiB / 9.717GiB   0.24%     8.01MB / 10.9MB   10.8MB / 0B       24
5731d806339e   testground-redis                                                0.65%     9.148MiB / 9.717GiB   0.09%     2.95MB / 0B       8.45MB / 0B       5
fb7a883c6248   testground-grafana                                              4.43%     189.1MiB / 9.717GiB   1.90%     3.01MB / 20kB     121MB / 74.1MB    17
4adce5611f83   testground-goproxy                                              0.02%     42.78MiB / 9.717GiB   0.43%     614kB / 973kB     6.39MB / 0B       15
67c12bf7724f   tg-dht-find-providers-cf4o9q7rirfpfu6nv5pg-cypress-provider-1   0.52%     34.76MiB / 9.717GiB   0.35%     2.84kB / 1.8kB    307kB / 0B        9
               --                                                              0.00%     0B / 0B               0.00%     0B / 0B           0B / 0B           0
               --                                                              0.00%     0B / 0B               0.00%     0B / 0B           0B / 0B           0
CONTAINER ID   NAME                                                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
04acb553b114   tg-dht-find-providers-cf4o9q7rirfpfu6nv5pg-cypress-provider-4    26.55%    28.2MiB / 9.717GiB    0.28%     2.77kB / 1.8kB    0B / 0B           9
67c12bf7724f   tg-dht-find-providers-cf4o9q7rirfpfu6nv5pg-cypress-provider-1    3.02%     34.86MiB / 9.717GiB   0.35%     3.38kB / 1.85kB   307kB / 0B        9
169de53749d0   tg-dht-find-providers-cf4o9q7rirfpfu6nv5pg-cypress-provider-0    16.58%    33.8MiB / 9.717GiB    0.34%     2.94kB / 1.8kB    0B / 0B           9
2e32461c875e   testground-sidecar                                               16.43%    29.51MiB / 9.717GiB   0.30%     3.07MB / 166kB    13.2MB / 4.62MB   17
e9556fdf3040   testground-influxdb                                              0.77%     134MiB / 9.717GiB     1.35%     292MB / 9.96MB    18.9MB / 62.5MB   24
a168d8727082   testground-sync-service                                          25.09%    23.86MiB / 9.717GiB   0.24%     8.02MB / 10.9MB   10.8MB / 0B       24
5731d806339e   testground-redis                                                 0.47%     9.148MiB / 9.717GiB   0.09%     2.95MB / 0B       8.45MB / 0B       5
fb7a883c6248   testground-grafana                                               0.36%     189.1MiB / 9.717GiB   1.90%     3.01MB / 20kB     121MB / 74.1MB    17
4adce5611f83   testground-goproxy                                               0.03%     42.78MiB / 9.717GiB   0.43%     614kB / 973kB     6.39MB / 0B       15
fcc4f7b5a175   tg-dht-find-providers-cf4o9q7rirfpfu6nv5pg-cypress-provider-12   14.61%    33.09MiB / 9.717GiB   0.33%     2.95kB / 1.8kB    0B / 0B           9
5c265460b3b3   tg-dht-find-providers-cf4o9q7rirfpfu6nv5pg-cypress-provider-5    25.99%    32.05MiB / 9.717GiB   0.32%     2.91kB / 1.8kB    0B / 0B           9
d6eec6740bd4   tg-dht-find-providers-cf4o9q7rirfpfu6nv5pg-cypress-provider-15   35.37%    31.89MiB / 9.717GiB   0.32%     2.91kB / 1.8kB    0B / 0B           9
74e44978bff6   tg-dht-find-providers-cf4o9q7rirfpfu6nv5pg-cypress-provider-10   0.04%     32.85MiB / 9.717GiB   0.33%     3.44kB / 1.8kB    0B / 0B           10
97a84492309b   tg-dht-find-providers-cf4o9q7rirfpfu6nv5pg-cypress-provider-7    7.45%     34.66MiB / 9.717GiB   0.35%     3.37kB / 1.8kB    0B / 0B           10
de637ce65de9   tg-dht-find-providers-cf4o9q7rirfpfu6nv5pg-cypress-provider-2    27.25%    33.13MiB / 9.717GiB   0.33%     3.04kB / 1.8kB    0B / 0B           10
13b8ce36ca03   tg-dht-find-providers-cf4o9q7rirfpfu6nv5pg-cypress-provider-8    35.85%    32.23MiB / 9.717GiB   0.32%     2.83kB / 1.8kB    0B / 0B           10
8623e12207a3   tg-dht-find-providers-cf4o9q7rirfpfu6nv5pg-cypress-provider-11   17.91%    29.04MiB / 9.717GiB   0.29%     3.38kB / 1.8kB    0B / 0B           9
40084ec84329   tg-dht-find-providers-cf4o9q7rirfpfu6nv5pg-cypress-provider-3    10.51%    27.08MiB / 9.717GiB   0.27%     3.46kB / 1.8kB    0B / 0B           9
226e32c05ed5   tg-dht-find-providers-cf4o9q7rirfpfu6nv5pg-cypress-provider-9    17.43%    26.03MiB / 9.717GiB   0.26%     3.42kB / 1.8kB    0B / 0B           9
1b87af8d14fd   tg-dht-find-providers-cf4o9q7rirfpfu6nv5pg-cypress-provider-6    20.33%    24.83MiB / 9.717GiB   0.25%     3.46kB / 1.8kB    0B / 0B           9
c35776f06f83   tg-dht-find-providers-cf4o9q7rirfpfu6nv5pg-cypress-provider-34   17.00%    19.84MiB / 9.717GiB   0.20%     3.42kB / 1.8kB    0B / 0B           9
d2fe3e5e9f9a   tg-dht-find-providers-cf4o9q7rirfpfu6nv5pg-cypress-provider-17   15.81%    18.38MiB / 9.717GiB   0.18%     3.46kB / 1.8kB    0B / 0B           9
5ac3900f642c   tg-dht-find-providers-cf4o9q7rirfpfu6nv5pg-cypress-provider-14   15.47%    26.42MiB / 9.717GiB   0.27%     3.64kB / 1.8kB    0B / 0B           10
a023dd36a88a   tg-dht-find-providers-cf4o9q7rirfpfu6nv5pg-cypress-provider-16   15.55%    26.09MiB / 9.717GiB   0.26%     3.53kB / 1.8kB    0B / 0B           9
91d4f63d8e07   tg-dht-find-providers-cf4o9q7rirfpfu6nv5pg-cypress-provider-21   15.65%    26.11MiB / 9.717GiB   0.26%     3.33kB / 1.8kB    0B / 0B           9
1b1faae4e0ab   tg-dht-find-providers-cf4o9q7rirfpfu6nv5pg-cypress-provider-18   12.62%    25.57MiB / 9.717GiB   0.26%     3.42kB / 1.8kB    0B / 0B           10
b852c35ea89b   tg-dht-find-providers-cf4o9q7rirfpfu6nv5pg-cypress-provider-19   11.61%    18.17MiB / 9.717GiB   0.18%     3.25kB / 1.8kB    0B / 0B           9
6c1109c3c01a   tg-dht-find-providers-cf4o9q7rirfpfu6nv5pg-cypress-provider-20   25.38%    27.41MiB / 9.717GiB   0.28%     3.25kB / 1.8kB    0B / 0B           10
d3ab4e35909e   tg-dht-find-providers-cf4o9q7rirfpfu6nv5pg-cypress-provider-22   12.49%    21.95MiB / 9.717GiB   0.22%     3.21kB / 1.8kB    0B / 0B           9
9e5d94bfebbc   tg-dht-find-providers-cf4o9q7rirfpfu6nv5pg-cypress-provider-23   9.07%     16.4MiB / 9.717GiB    0.16%     2.49kB / 1.8kB    0B / 0B           9
cd7367a8b3c1   tg-dht-find-providers-cf4o9q7rirfpfu6nv5pg-cypress-provider-26   14.03%    16.27MiB / 9.717GiB   0.16%     2.66kB / 1.8kB    0B / 0B           9
05f222ccc847   tg-dht-find-providers-cf4o9q7rirfpfu6nv5pg-cypress-provider-25   14.79%    17.45MiB / 9.717GiB   0.18%     2.66kB / 1.8kB    0B / 0B           9
79a4932f40a0   tg-dht-find-providers-cf4o9q7rirfpfu6nv5pg-cypress-provider-24   10.58%    26.11MiB / 9.717GiB   0.26%     3.29kB / 1.8kB    0B / 0B           10
b18fc2e08873   tg-dht-find-providers-cf4o9q7rirfpfu6nv5pg-cypress-provider-27   20.79%    21.88MiB / 9.717GiB   0.22%     3.04kB / 1.8kB    0B / 0B           9
cec1006ae50c   tg-dht-find-providers-cf4o9q7rirfpfu6nv5pg-cypress-provider-28   11.20%    26.49MiB / 9.717GiB   0.27%     3.25kB / 1.8kB    0B / 0B           10
452580b9f97e   tg-dht-find-providers-cf4o9q7rirfpfu6nv5pg-cypress-provider-30   12.66%    25.52MiB / 9.717GiB   0.26%     3.38kB / 1.8kB    0B / 0B           9
aba96a57f0bf   tg-dht-find-providers-cf4o9q7rirfpfu6nv5pg-cypress-provider-29   9.98%     20.86MiB / 9.717GiB   0.21%     3.29kB / 1.8kB    0B / 0B           10
e17b05c8e5e5   tg-dht-find-providers-cf4o9q7rirfpfu6nv5pg-cypress-provider-31   10.67%    20.52MiB / 9.717GiB   0.21%     3.29kB / 1.8kB    0B / 0B           9
70c237a469fa   tg-dht-find-providers-cf4o9q7rirfpfu6nv5pg-cypress-provider-32   14.55%    24.14MiB / 9.717GiB   0.24%     3.25kB / 1.8kB    0B / 0B           9
643cf94659ab   tg-dht-find-providers-cf4o9q7rirfpfu6nv5pg-cypress-provider-33   15.74%    25.14MiB / 9.717GiB   0.25%     3.33kB / 1.8kB    0B / 0B           9
1c0214fc6351   tg-dht-find-providers-cf4o9q7rirfpfu6nv5pg-cypress-provider-13   14.41%    20.47MiB / 9.717GiB   0.21%     3.08kB / 1.8kB    0B / 0B           9
03128dd3f468   tg-dht-find-providers-cf4o9q7rirfpfu6nv5pg-cypress-provider-43   16.03%    27.37MiB / 9.717GiB   0.28%     3.29kB / 1.8kB    0B / 0B           9
ba1e032b3a28   tg-dht-find-providers-cf4o9q7rirfpfu6nv5pg-cypress-provider-35   15.25%    25.01MiB / 9.717GiB   0.25%     3.17kB / 1.8kB    0B / 0B           9
e7a00b740245   tg-dht-find-providers-cf4o9q7rirfpfu6nv5pg-cypress-provider-38   14.40%    23.07MiB / 9.717GiB   0.23%     2.83kB / 1.8kB    0B / 0B           9
ef530e5583b3   tg-dht-find-providers-cf4o9q7rirfpfu6nv5pg-cypress-provider-36   15.28%    18.66MiB / 9.717GiB   0.19%     2.75kB / 1.8kB    0B / 0B           9
381d08986e25   tg-dht-find-providers-cf4o9q7rirfpfu6nv5pg-cypress-provider-37   15.52%    17.82MiB / 9.717GiB   0.18%     3.04kB / 1.8kB    0B / 0B           9
a3b90ac0c207   tg-dht-find-providers-cf4o9q7rirfpfu6nv5pg-cypress-provider-40   26.54%    27.62MiB / 9.717GiB   0.28%     3kB / 1.8kB       0B / 0B           10
9504c1d26406   tg-dht-find-providers-cf4o9q7rirfpfu6nv5pg-cypress-provider-41   13.68%    16.34MiB / 9.717GiB   0.16%     2.69kB / 1.8kB    0B / 0B           9
33d271d894e4   tg-dht-find-providers-cf4o9q7rirfpfu6nv5pg-cypress-provider-42   22.88%    30.09MiB / 9.717GiB   0.30%     3.88kB / 2.8kB    0B / 0B           10
9401a4c73812   tg-dht-find-providers-cf4o9q7rirfpfu6nv5pg-cypress-provider-39   16.41%    25.28MiB / 9.717GiB   0.25%     3.99kB / 2.8kB    0B / 0B           10
e767ead98a72   tg-dht-find-providers-cf4o9q7rirfpfu6nv5pg-cypress-provider-48   16.80%    17.69MiB / 9.717GiB   0.18%     3.1kB / 1.87kB    0B / 0B           9
472998eb9c6e   tg-dht-find-providers-cf4o9q7rirfpfu6nv5pg-cypress-provider-44   17.88%    18.96MiB / 9.717GiB   0.19%     3.87kB / 2.8kB    0B / 0B           9
34ee07a08c11   tg-dht-find-providers-cf4o9q7rirfpfu6nv5pg-cypress-provider-45   14.04%    17.16MiB / 9.717GiB   0.17%     3.05kB / 2.22kB   0B / 0B           10
0c00eda8d4e8   tg-dht-find-providers-cf4o9q7rirfpfu6nv5pg-cypress-provider-47   14.90%    14.96MiB / 9.717GiB   0.15%     3.35kB / 2.8kB    0B / 0B           10
